month,state,criminal justice,health,healthcare,immigrants,rent
2015-01,AK,53,71,40,22.0,62
2015-02,AK,0,77,50,0.0,62
2015-03,AK,55,75,47,0.0,66
2015-04,AK,0,76,40,26.0,66
2015-05,AK,0,59,33,0.0,66
2015-06,AK,0,67,39,25.0,70
2015-07,AK,0,67,34,0.0,70
2015-08,AK,0,72,39,23.0,67
2015-09,AK,86,69,35,51.0,58
2015-10,AK,52,71,44,44.0,53
2015-11,AK,63,69,42,39.0,50
2015-12,AK,0,71,44,23.0,51
2016-01,AK,50,78,44,46.0,65
2016-02,AK,85,81,47,27.0,68
2016-03,AK,45,72,43,25.0,68
2016-04,AK,72,76,41,0.0,80
2016-05,AK,100,67,39,23.0,83
2016-06,AK,70,66,37,33.0,87
2016-07,AK,64,60,33,16.0,80
2016-08,AK,0,69,36,18.0,71
2016-09,AK,48,71,40,23.0,63
2016-10,AK,41,68,42,44.0,54
2016-11,AK,85,68,39,75.0,51
2016-12,AK,0,68,43,34.0,55
2017-01,AK,53,77,51,74.0,66
2017-02,AK,56,72,38,100.0,63
2017-03,AK,73,81,57,47.0,66
2017-04,AK,69,71,49,24.0,70
2017-05,AK,40,74,59,26.0,67
2017-06,AK,0,75,48,0.0,66
2017-07,AK,0,69,57,26.0,75
2017-08,AK,0,68,38,17.0,74
2017-09,AK,55,68,42,25.0,59
2017-10,AK,53,69,38,22.0,52
2017-11,AK,0,73,42,47.0,52
2017-12,AK,54,65,43,24.0,48
2018-01,AK,53,77,47,47.0,63
2018-02,AK,45,77,43,48.0,60
2018-03,AK,44,74,39,25.0,71
2018-04,AK,49,73,42,35.0,73
2018-05,AK,48,70,41,40.0,73
2018-06,AK,40,65,38,51.0,73
2018-07,AK,44,66,36,31.0,77
2018-08,AK,38,73,36,27.0,76
2018-09,AK,0,76,37,22.0,62
2018-10,AK,49,78,37,61.0,55
2018-11,AK,37,71,42,45.0,55
2018-12,AK,44,64,36,36.0,56
2019-01,AK,49,78,44,70.0,69
2019-02,AK,90,82,40,40.0,60
2019-03,AK,0,73,40,36.0,71
2019-04,AK,0,75,41,50.0,69
2019-05,AK,56,75,38,24.0,78
2019-06,AK,0,68,37,29.0,79
2019-07,AK,48,68,38,52.0,81
2019-08,AK,49,67,34,21.0,72
2019-09,AK,0,73,34,28.0,70
2019-10,AK,42,84,45,18.0,58
2019-11,AK,34,74,39,19.0,55
2019-12,AK,0,68,39,31.0,54
2020-01,AK,0,81,41,32.0,69
2020-02,AK,0,80,45,31.0,63
2020-03,AK,78,97,53,21.0,61
2020-04,AK,41,84,60,21.0,59
2020-05,AK,51,73,41,16.0,79
2020-06,AK,44,84,48,0.0,79
2020-07,AK,0,81,38,22.0,80
2020-08,AK,50,80,42,26.0,77
2020-09,AK,36,80,46,27.0,67
2020-10,AK,55,85,50,30.0,60
2020-11,AK,0,78,56,16.0,55
2020-12,AK,0,74,51,0.0,57
2021-01,AK,0,87,54,29.0,69
2021-02,AK,0,85,43,22.0,81
2021-03,AK,42,82,61,22.0,91
2021-04,AK,43,76,49,20.0,98
2021-05,AK,41,71,37,18.0,96
2021-06,AK,0,72,40,25.0,100
2021-07,AK,0,71,49,0.0,97
2021-08,AK,0,78,49,22.0,84
2021-09,AK,0,87,71,19.0,88
2021-10,AK,0,82,63,20.0,80
2021-11,AK,0,78,57,0.0,75
2021-12,AK,0,72,54,22.0,63
2022-01,AK,0,94,66,0.0,76
2022-02,AK,0,86,60,21.0,86
2022-03,AK,36,82,52,28.0,90
2022-04,AK,28,79,48,43.0,84
2022-05,AK,43,77,44,22.0,83
2022-06,AK,0,75,46,24.0,81
2022-07,AK,0,73,44,15.0,90
2022-08,AK,37,77,53,18.0,79
2022-09,AK,0,79,45,50.0,71
2022-10,AK,50,83,50,31.0,69
2022-11,AK,35,81,48,20.0,61
2022-12,AK,0,77,44,21.0,54
2023-01,AK,55,92,57,25.0,70
2023-02,AK,51,90,54,0.0,67
2023-03,AK,37,92,59,36.0,73
2023-04,AK,0,88,51,23.0,76
2023-05,AK,66,82,55,28.0,81
2023-06,AK,0,80,49,25.0,80
2023-07,AK,0,76,47,24.0,85
2023-08,AK,0,77,43,18.0,74
2023-09,AK,69,86,47,38.0,71
2023-10,AK,37,85,53,34.0,62
2023-11,AK,45,84,57,22.0,52
2023-12,AK,0,76,49,35.0,52
2024-01,AK,50,87,60,55.0,56
2024-02,AK,58,90,62,43.0,66
2024-03,AK,39,89,61,54.0,64
2024-04,AK,80,90,57,54.0,69
2024-05,AK,0,85,43,24.0,74
2024-06,AK,0,72,47,22.0,71
2024-07,AK,35,74,42,19.0,67
2024-08,AK,0,78,49,38.0,59
2024-09,AK,0,88,55,71.0,56
2024-10,AK,48,86,57,58.0,53
2024-11,AK,45,86,55,94.0,55
2024-12,AK,40,84,100,19.0,51
