state,period,target,anytarget_th0,inc_anytarget_th0_h6,protest_count,avg_protest_count,violence
AK,201701,1,1,0.0,2.0,1.16,0.0
AK,201702,0,0,1.0,0.0,1.16,0.0
AK,201703,0,0,1.0,0.0,1.16,0.0
AK,201704,0,0,1.0,0.0,1.16,0.0
AK,201705,0,0,1.0,0.0,1.16,0.0
AK,201706,0,0,1.0,0.0,1.16,0.0
AK,201707,0,0,1.0,0.0,1.16,0.0
AK,201708,1,1,0.0,3.0,1.16,0.0
AK,201709,0,0,0.0,1.0,1.16,0.0
AK,201710,0,0,0.0,0.0,1.16,0.0
AK,201711,0,0,1.0,0.0,1.16,0.0
AK,201712,0,0,1.0,0.0,1.16,0.0
AK,201801,0,0,1.0,0.0,1.16,0.0
AK,201802,0,0,1.0,0.0,1.16,0.0
AK,201803,0,0,1.0,0.0,1.16,0.0
AK,201804,0,0,1.0,0.0,1.16,0.0
AK,201805,1,1,1.0,2.0,1.16,0.0
AK,201806,1,1,1.0,8.0,1.16,0.0
AK,201807,0,0,1.0,0.0,1.16,0.0
AK,201808,0,0,1.0,0.0,1.16,0.0
AK,201809,1,1,1.0,7.0,1.16,0.0
AK,201810,0,0,1.0,0.0,1.16,0.0
AK,201811,0,0,1.0,0.0,1.16,0.0
AK,201812,0,0,1.0,0.0,1.16,0.0
AK,201901,1,1,1.0,4.0,1.16,0.0
AK,201902,0,0,1.0,0.0,1.16,0.0
AK,201903,0,0,1.0,0.0,1.16,0.0
AK,201904,0,0,1.0,0.0,1.16,0.0
AK,201905,0,0,1.0,0.0,1.16,0.0
AK,201906,0,0,1.0,0.0,1.16,0.0
AK,201907,1,1,0.0,5.0,1.16,0.0
AK,201908,0,0,0.0,0.0,1.16,0.0
AK,201909,0,0,0.0,0.0,1.16,0.0
AK,201910,0,0,0.0,0.0,1.16,0.0
AK,201911,0,0,1.0,0.0,1.16,0.0
AK,201912,0,0,1.0,0.0,1.16,0.0
AK,202001,0,0,1.0,0.0,1.16,0.0
AK,202002,0,0,1.0,0.0,1.16,0.0
AK,202003,0,0,1.0,0.0,1.16,0.0
AK,202004,0,0,1.0,0.0,1.16,0.0
AK,202005,1,1,1.0,11.0,1.16,0.0
AK,202006,1,1,1.0,29.0,1.16,0.0
AK,202007,0,0,1.0,1.0,1.16,0.0
AK,202008,0,0,1.0,0.0,1.16,0.0
AK,202009,0,0,1.0,1.0,1.16,0.0
AK,202010,1,1,0.0,2.0,1.16,0.0
AK,202011,0,0,0.0,0.0,1.16,0.0
AK,202012,0,0,0.0,0.0,1.16,0.0
AK,202101,0,0,0.0,0.0,1.16,0.0
AK,202102,0,0,1.0,0.0,1.16,0.0
AK,202103,0,0,1.0,0.0,1.16,0.0
AK,202104,0,0,1.0,0.0,1.16,0.0
AK,202105,0,0,1.0,0.0,1.16,0.0
AK,202106,0,0,1.0,1.0,1.16,0.0
AK,202107,0,0,1.0,0.0,1.16,0.0
AK,202108,1,1,0.0,2.0,1.16,0.0
AK,202109,0,0,0.0,0.0,1.16,1.0
AK,202110,0,0,1.0,0.0,1.16,0.0
AK,202111,0,0,1.0,0.0,1.16,0.0
AK,202112,0,0,1.0,0.0,1.16,0.0
AK,202201,0,0,1.0,1.0,1.16,0.0
AK,202202,0,0,1.0,0.0,1.16,0.0
AK,202203,0,0,1.0,1.0,1.16,0.0
AK,202204,1,1,1.0,4.0,1.16,0.0
AK,202205,0,0,1.0,0.0,1.16,0.0
AK,202206,0,0,1.0,0.0,1.16,0.0
AK,202207,1,1,0.0,3.0,1.16,0.0
AK,202208,0,0,0.0,0.0,1.16,0.0
AK,202209,0,0,0.0,0.0,1.16,0.0
AK,202210,0,0,0.0,0.0,1.16,0.0
AK,202211,0,0,0.0,0.0,1.16,0.0
AK,202212,0,0,1.0,0.0,1.16,0.0
AK,202301,0,0,1.0,1.0,1.16,0.0
AK,202302,0,0,1.0,0.0,1.16,0.0
AK,202303,0,0,1.0,0.0,1.16,0.0
AK,202304,0,0,1.0,0.0,1.16,0.0
AK,202305,0,0,1.0,0.0,1.16,0.0
AK,202306,1,1,0.0,2.0,1.16,0.0
AK,202307,0,0,0.0,1.0,1.16,0.0
AK,202308,0,0,0.0,0.0,1.16,0.0
AK,202309,0,0,0.0,0.0,1.16,0.0
AK,202310,0,0,0.0,0.0,1.16,0.0
AK,202311,0,0,0.0,0.0,1.16,0.0
AK,202312,0,0,0.0,0.0,1.16,0.0
AK,202401,0,0,0.0,0.0,1.16,0.0
AK,202402,0,0,0.0,0.0,1.16,0.0
AK,202403,0,0,0.0,0.0,1.16,0.0
AK,202404,0,0,0.0,0.0,1.16,0.0
AK,202405,0,0,0.0,0.0,1.16,0.0
AK,202406,0,0,0.0,1.0,1.16,0.0
AK,202407,0,0,1.0,0.0,1.16,0.0
AK,202408,0,0,1.0,0.0,1.16,0.0
AK,202409,0,0,1.0,0.0,1.16,0.0
AK,202410,0,0,1.0,0.0,1.16,0.0
AK,202411,0,0,,0.0,1.16,0.0
AK,202412,0,0,,0.0,1.16,0.0
AK,202501,1,1,,2.0,1.16,0.0
AK,202502,1,1,,4.0,1.16,0.0
AK,202503,0,0,,1.0,1.16,0.0
AK,202504,1,1,,16.0,1.16,0.0
AL,201701,0,0,0.0,4.0,4.34,1.0
AL,201702,0,0,0.0,2.0,4.34,0.0
AL,201703,0,0,0.0,1.0,4.34,0.0
AL,201704,0,0,0.0,0.0,4.34,1.0
AL,201705,0,0,0.0,0.0,4.34,0.0
AL,201706,0,0,0.0,0.0,4.34,0.0
AL,201707,0,0,0.0,1.0,4.34,0.0
AL,201708,0,0,0.0,4.0,4.34,0.0
AL,201709,0,0,0.0,1.0,4.34,0.0
AL,201710,0,0,0.0,2.0,4.34,0.0
AL,201711,0,0,0.0,0.0,4.34,0.0
AL,201712,0,0,1.0,0.0,4.34,0.0
AL,201801,0,0,1.0,4.0,4.34,0.0
AL,201802,0,0,1.0,0.0,4.34,0.0
AL,201803,0,0,1.0,2.0,4.34,0.0
AL,201804,0,0,1.0,2.0,4.34,0.0
AL,201805,0,0,1.0,4.0,4.34,0.0
AL,201806,1,1,0.0,10.0,4.34,1.0
AL,201807,0,0,0.0,0.0,4.34,0.0
AL,201808,0,0,0.0,0.0,4.34,0.0
AL,201809,0,0,0.0,3.0,4.34,0.0
AL,201810,0,0,0.0,0.0,4.34,0.0
AL,201811,0,0,0.0,1.0,4.34,1.0
AL,201812,0,0,0.0,1.0,4.34,1.0
AL,201901,0,0,1.0,3.0,4.34,0.0
AL,201902,0,0,1.0,2.0,4.34,1.0
AL,201903,0,0,1.0,2.0,4.34,0.0
AL,201904,0,0,1.0,1.0,4.34,0.0
AL,201905,0,0,1.0,0.0,4.34,0.0
