actor,occurrence_count,rank,first_appearance,unique_dates
where do we go?,357,1,2024-10,"['2024-10', '2024-11', '2024-12']"
berkeley homeless union,352,2,2024-10,"['2024-10', '2024-11', '2024-12']"
elected officials,296,3,2021-01,"['2021-01', '2021-02', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
supporters,282,4,2021-02,"['2021-02', '2021-06', '2022-04', '2022-10', '2023-01', '2023-03', '2023-04', '2023-05', '2023-08', '2023-10', '2024-09', '2024-10', '2024-11', '2024-12']"
unhoused communities,267,5,2024-09,"['2024-09', '2024-10', '2024-11', '2024-12']"
students,253,6,2017-05,"['2017-05', '2018-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-02', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04']"
community members,245,7,2017-05,"['2017-05', '2020-08', '2021-01', '2021-03', '2021-04', '2021-06', '2021-10', '2022-02', '2022-04', '2022-05', '2022-08', '2022-10', '2022-11', '2022-12', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
residents,216,8,2018-07,"['2018-07', '2019-04', '2020-05', '2020-08', '2020-12', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-03']"
tenants,202,9,2020-03,"['2020-03', '2020-05', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2021-01', '2021-03', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01']"
camp resolution,186,10,2022-10,"['2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-07', '2024-05']"
lahaina strong,183,11,2023-10,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05']"
new york communities for change,112,12,2017-08,"['2017-08', '2020-10', '2020-11', '2020-12', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-08', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-05', '2022-06', '2022-07', '2022-09', '2022-10', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-05', '2024-06', '2024-10']"
stop hunting us,105,13,2023-01,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05']"
detroit will breathe,92,14,2020-06,"['2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-04', '2024-09']"
activists,90,15,2021-02,"['2021-02', '2021-03', '2021-04', '2021-06', '2021-08', '2021-09', '2021-10', '2021-11', '2022-04', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2024-01', '2024-02', '2024-03', '2024-04', '2024-06', '2024-09', '2024-10']"
local unhoused people,72,16,2022-01,"['2022-01', '2022-02', '2022-03']"
housing justice for all,71,17,2018-01,"['2018-01', '2018-06', '2020-10', '2021-03', '2021-04', '2021-06', '2021-07', '2021-08', '2021-10', '2021-11', '2021-12', '2022-02', '2022-03', '2022-04', '2022-05', '2022-08', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-10', '2023-12', '2024-02', '2024-03', '2024-04']"
party for socialism and liberation,65,18,2020-06,"['2020-06', '2020-07', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-08', '2021-09', '2021-10', '2022-02', '2022-03', '2022-04', '2022-05', '2022-11', '2023-03', '2025-01', '2025-03']"
psl,61,19,2021-08,"['2021-08', '2022-05', '2022-06', '2022-08', '2022-09', '2022-10', '2022-11', '2023-01', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-03', '2024-04', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02']"
vocal-ny,61,20,2020-09,"['2020-09', '2021-03', '2021-04', '2021-08', '2021-10', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-10', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-09', '2025-03']"
boise mutual aid collective,59,21,2022-01,"['2022-01', '2022-02', '2022-03']"
j-town action & solidarity,56,22,2022-03,"['2022-03', '2022-04', '2022-05', '2022-07', '2022-10', '2023-07', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
advocates,53,23,2021-03,"['2021-03', '2021-08', '2021-09', '2021-10', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-06', '2022-08', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-08', '2024-09', '2024-12']"
poor people's campaign,48,24,2021-01,"['2021-01', '2021-02', '2021-12', '2022-02', '2022-05', '2022-09', '2022-10', '2023-04', '2023-06', '2024-03', '2024-04', '2024-06']"
make the road ny,42,25,2020-12,"['2020-12', '2021-03', '2021-04', '2021-06', '2021-08', '2021-10', '2021-11', '2022-01', '2022-03', '2022-04', '2022-05', '2023-03', '2023-04', '2023-05', '2023-06', '2024-01', '2024-03', '2024-04', '2024-06', '2024-10', '2024-12', '2025-01', '2025-04']"
