Categoría: Todas las categorías

Mes,criminal justice: (Nevada)
2015-01,80
2015-02,69
2015-03,73
2015-04,84
2015-05,74
2015-06,54
2015-07,65
2015-08,68
2015-09,92
2015-10,82
2015-11,100
2015-12,60
2016-01,72
2016-02,80
2016-03,68
2016-04,69
2016-05,59
2016-06,57
2016-07,51
2016-08,60
2016-09,78
2016-10,64
2016-11,75
2016-12,63
2017-01,73
2017-02,62
2017-03,67
2017-04,89
2017-05,67
2017-06,50
2017-07,46
2017-08,63
2017-09,64
2017-10,74
2017-11,73
2017-12,56
2018-01,64
2018-02,61
2018-03,61
2018-04,70
2018-05,56
2018-06,55
2018-07,55
2018-08,47
2018-09,70
2018-10,61
2018-11,79
2018-12,68
2019-01,65
2019-02,60
2019-03,66
2019-04,78
2019-05,61
2019-06,56
2019-07,59
2019-08,75
2019-09,82
2019-10,79
2019-11,68
2019-12,58
2020-01,67
2020-02,68
2020-03,49
2020-04,62
2020-05,55
2020-06,55
2020-07,57
2020-08,60
2020-09,75
2020-10,56
2020-11,49
2020-12,50
2021-01,57
2021-02,59
2021-03,43
2021-04,53
2021-05,48
2021-06,42
2021-07,38
2021-08,49
2021-09,60
2021-10,58
2021-11,54
2021-12,43
2022-01,58
2022-02,67
2022-03,61
2022-04,69
2022-05,57
2022-06,40
2022-07,44
2022-08,52
2022-09,70
2022-10,62
2022-11,63
2022-12,62
2023-01,63
2023-02,64
2023-03,53
2023-04,60
2023-05,58
2023-06,48
2023-07,43
2023-08,56
2023-09,65
2023-10,70
2023-11,65
2023-12,53
2024-01,64
2024-02,60
2024-03,52
2024-04,55
2024-05,58
2024-06,33
2024-07,38
2024-08,63
2024-09,71
2024-10,73
2024-11,60
2024-12,59
2025-01,66
2025-02,68
2025-03,54
2025-04,55
2025-05,59
