Categoría: Todas las categorías

Mes,criminal justice: (Alaska)
2015-01,53
2015-02,0
2015-03,55
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,86
2015-10,52
2015-11,63
2015-12,0
2016-01,50
2016-02,85
2016-03,45
2016-04,72
2016-05,100
2016-06,70
2016-07,64
2016-08,0
2016-09,48
2016-10,41
2016-11,85
2016-12,0
2017-01,53
2017-02,56
2017-03,73
2017-04,69
2017-05,40
2017-06,0
2017-07,0
2017-08,0
2017-09,55
2017-10,53
2017-11,0
2017-12,54
2018-01,53
2018-02,45
2018-03,44
2018-04,49
2018-05,48
2018-06,40
2018-07,44
2018-08,38
2018-09,0
2018-10,49
2018-11,37
2018-12,44
2019-01,49
2019-02,90
2019-03,0
2019-04,0
2019-05,56
2019-06,0
2019-07,48
2019-08,49
2019-09,0
2019-10,42
2019-11,34
2019-12,0
2020-01,0
2020-02,0
2020-03,78
2020-04,41
2020-05,51
2020-06,44
2020-07,0
2020-08,50
2020-09,36
2020-10,55
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,42
2021-04,43
2021-05,41
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,36
2022-04,28
2022-05,43
2022-06,0
2022-07,0
2022-08,37
2022-09,0
2022-10,50
2022-11,35
2022-12,0
2023-01,55
2023-02,51
2023-03,37
2023-04,0
2023-05,66
2023-06,0
2023-07,0
2023-08,0
2023-09,69
2023-10,37
2023-11,45
2023-12,0
2024-01,50
2024-02,58
2024-03,39
2024-04,80
2024-05,0
2024-06,0
2024-07,35
2024-08,0
2024-09,0
2024-10,48
2024-11,45
2024-12,40
2025-01,38
2025-02,60
2025-03,53
2025-04,50
2025-05,32
