Categoría: Todas las categorías

Mes,guns: (Oklahoma)
2015-01,61
2015-02,59
2015-03,56
2015-04,51
2015-05,46
2015-06,50
2015-07,61
2015-08,61
2015-09,52
2015-10,67
2015-11,78
2015-12,100
2016-01,87
2016-02,68
2016-03,59
2016-04,62
2016-05,53
2016-06,72
2016-07,70
2016-08,58
2016-09,53
2016-10,57
2016-11,69
2016-12,68
2017-01,60
2017-02,57
2017-03,51
2017-04,51
2017-05,54
2017-06,56
2017-07,56
2017-08,48
2017-09,44
2017-10,64
2017-11,78
2017-12,66
2018-01,53
2018-02,78
2018-03,74
2018-04,56
2018-05,51
2018-06,51
2018-07,45
2018-08,49
2018-09,44
2018-10,47
2018-11,57
2018-12,58
2019-01,48
2019-02,53
2019-03,53
2019-04,50
2019-05,42
2019-06,57
2019-07,45
2019-08,54
2019-09,52
2019-10,62
2019-11,58
2019-12,61
2020-01,56
2020-02,55
2020-03,65
2020-04,57
2020-05,60
2020-06,72
2020-07,65
2020-08,60
2020-09,52
2020-10,54
2020-11,65
2020-12,67
2021-01,69
2021-02,57
2021-03,54
2021-04,55
2021-05,46
2021-06,47
2021-07,48
2021-08,47
2021-09,44
2021-10,45
2021-11,52
2021-12,56
2022-01,52
2022-02,55
2022-03,51
2022-04,49
2022-05,54
2022-06,58
2022-07,52
2022-08,49
2022-09,45
2022-10,44
2022-11,55
2022-12,56
2023-01,48
2023-02,55
2023-03,48
2023-04,49
2023-05,39
2023-06,40
2023-07,42
2023-08,41
2023-09,41
2023-10,44
2023-11,49
2023-12,51
2024-01,45
2024-02,45
2024-03,42
2024-04,41
2024-05,40
2024-06,40
2024-07,39
2024-08,40
2024-09,40
2024-10,42
2024-11,51
2024-12,54
2025-01,47
2025-02,44
2025-03,43
2025-04,45
2025-05,38
