Categoría: Todas las categorías

Mes,criminal justice: (Arkansas)
2015-01,90
2015-02,76
2015-03,59
2015-04,98
2015-05,64
2015-06,67
2015-07,74
2015-08,94
2015-09,100
2015-10,86
2015-11,67
2015-12,66
2016-01,77
2016-02,74
2016-03,55
2016-04,88
2016-05,62
2016-06,48
2016-07,41
2016-08,79
2016-09,75
2016-10,70
2016-11,69
2016-12,59
2017-01,69
2017-02,70
2017-03,55
2017-04,77
2017-05,67
2017-06,41
2017-07,58
2017-08,68
2017-09,81
2017-10,71
2017-11,63
2017-12,47
2018-01,82
2018-02,66
2018-03,65
2018-04,71
2018-05,69
2018-06,58
2018-07,48
2018-08,72
2018-09,55
2018-10,78
2018-11,72
2018-12,71
2019-01,65
2019-02,69
2019-03,72
2019-04,82
2019-05,71
2019-06,46
2019-07,46
2019-08,72
2019-09,73
2019-10,68
2019-11,85
2019-12,44
2020-01,63
2020-02,64
2020-03,52
2020-04,58
2020-05,58
2020-06,52
2020-07,37
2020-08,71
2020-09,81
2020-10,53
2020-11,56
2020-12,40
2021-01,53
2021-02,61
2021-03,52
2021-04,47
2021-05,49
2021-06,40
2021-07,38
2021-08,46
2021-09,51
2021-10,59
2021-11,46
2021-12,44
2022-01,46
2022-02,46
2022-03,48
2022-04,81
2022-05,56
2022-06,43
2022-07,35
2022-08,59
2022-09,57
2022-10,59
2022-11,49
2022-12,39
2023-01,57
2023-02,62
2023-03,58
2023-04,60
2023-05,47
2023-06,38
2023-07,40
2023-08,48
2023-09,64
2023-10,64
2023-11,50
2023-12,46
2024-01,53
2024-02,49
2024-03,46
2024-04,56
2024-05,52
2024-06,43
2024-07,40
2024-08,59
2024-09,59
2024-10,63
2024-11,54
2024-12,41
2025-01,61
2025-02,60
2025-03,55
2025-04,63
2025-05,54
