Categoría: Todas las categorías

Mes,criminal justice: (Arizona)
2015-01,73
2015-02,83
2015-03,71
2015-04,84
2015-05,60
2015-06,52
2015-07,52
2015-08,72
2015-09,100
2015-10,82
2015-11,74
2015-12,62
2016-01,77
2016-02,72
2016-03,65
2016-04,67
2016-05,59
2016-06,44
2016-07,51
2016-08,69
2016-09,77
2016-10,80
2016-11,73
2016-12,62
2017-01,63
2017-02,72
2017-03,71
2017-04,64
2017-05,56
2017-06,52
2017-07,50
2017-08,66
2017-09,85
2017-10,78
2017-11,61
2017-12,52
2018-01,64
2018-02,64
2018-03,59
2018-04,64
2018-05,54
2018-06,44
2018-07,48
2018-08,68
2018-09,75
2018-10,77
2018-11,63
2018-12,68
2019-01,66
2019-02,67
2019-03,55
2019-04,81
2019-05,65
2019-06,59
2019-07,53
2019-08,71
2019-09,81
2019-10,77
2019-11,59
2019-12,52
2020-01,72
2020-02,75
2020-03,50
2020-04,57
2020-05,64
2020-06,61
2020-07,46
2020-08,72
2020-09,68
2020-10,67
2020-11,56
2020-12,48
2021-01,57
2021-02,57
2021-03,51
2021-04,55
2021-05,50
2021-06,43
2021-07,37
2021-08,47
2021-09,59
2021-10,57
2021-11,48
2021-12,37
2022-01,54
2022-02,58
2022-03,57
2022-04,70
2022-05,54
2022-06,44
2022-07,46
2022-08,63
2022-09,81
2022-10,69
2022-11,53
2022-12,46
2023-01,62
2023-02,67
2023-03,59
2023-04,57
2023-05,45
2023-06,37
2023-07,40
2023-08,56
2023-09,73
2023-10,63
2023-11,57
2023-12,44
2024-01,56
2024-02,60
2024-03,61
2024-04,73
2024-05,51
2024-06,35
2024-07,42
2024-08,61
2024-09,67
2024-10,71
2024-11,62
2024-12,58
2025-01,66
2025-02,65
2025-03,57
2025-04,63
2025-05,62
