Category: All categories

Month,criminal justice: (Colorado)
2015-01,88
2015-02,86
2015-03,85
2015-04,90
2015-05,78
2015-06,75
2015-07,72
2015-08,76
2015-09,99
2015-10,100
2015-11,86
2015-12,76
2016-01,81
2016-02,87
2016-03,80
2016-04,95
2016-05,75
2016-06,60
2016-07,71
2016-08,79
2016-09,85
2016-10,77
2016-11,73
2016-12,66
2017-01,76
2017-02,78
2017-03,72
2017-04,72
2017-05,74
2017-06,70
2017-07,53
2017-08,70
2017-09,80
2017-10,84
2017-11,74
2017-12,69
2018-01,84
2018-02,74
2018-03,76
2018-04,74
2018-05,73
2018-06,58
2018-07,59
2018-08,80
2018-09,87
2018-10,79
2018-11,69
2018-12,80
2019-01,84
2019-02,90
2019-03,73
2019-04,75
2019-05,74
2019-06,59
2019-07,56
2019-08,81
2019-09,83
2019-10,85
2019-11,75
2019-12,75
2020-01,84
2020-02,89
2020-03,70
2020-04,67
2020-05,67
2020-06,73
2020-07,62
2020-08,62
2020-09,90
2020-10,77
2020-11,60
2020-12,58
2021-01,57
2021-02,73
2021-03,59
2021-04,59
2021-05,55
2021-06,51
2021-07,50
2021-08,57
2021-09,68
2021-10,64
2021-11,58
2021-12,54
2022-01,56
2022-02,57
2022-03,62
2022-04,72
2022-05,59
2022-06,44
2022-07,47
2022-08,57
2022-09,78
2022-10,65
2022-11,61
2022-12,58
2023-01,63
2023-02,67
2023-03,65
2023-04,61
2023-05,53
2023-06,46
2023-07,47
2023-08,54
2023-09,68
2023-10,74
2023-11,60
2023-12,47
2024-01,64
2024-02,78
2024-03,63
2024-04,65
2024-05,65
2024-06,48
2024-07,48
2024-08,63
2024-09,75
2024-10,78
2024-11,60
2024-12,51
2025-01,78
2025-02,78
2025-03,59
2025-04,63
2025-05,68
