Categoría: Todas las categorías

Mes,criminal justice: (Distrito de Columbia)
2015-01,35
2015-02,33
2015-03,39
2015-04,38
2015-05,28
2015-06,31
2015-07,38
2015-08,32
2015-09,38
2015-10,40
2015-11,43
2015-12,33
2016-01,44
2016-02,50
2016-03,48
2016-04,46
2016-05,39
2016-06,42
2016-07,45
2016-08,44
2016-09,44
2016-10,39
2016-11,39
2016-12,30
2017-01,41
2017-02,37
2017-03,43
2017-04,43
2017-05,35
2017-06,34
2017-07,37
2017-08,29
2017-09,39
2017-10,41
2017-11,46
2017-12,37
2018-01,57
2018-02,50
2018-03,49
2018-04,62
2018-05,63
2018-06,47
2018-07,48
2018-08,49
2018-09,59
2018-10,63
2018-11,80
2018-12,100
2019-01,62
2019-02,78
2019-03,64
2019-04,66
2019-05,58
2019-06,52
2019-07,44
2019-08,63
2019-09,62
2019-10,61
2019-11,58
2019-12,46
2020-01,68
2020-02,66
2020-03,44
2020-04,44
2020-05,51
2020-06,71
2020-07,46
2020-08,43
2020-09,44
2020-10,48
2020-11,42
2020-12,29
2021-01,46
2021-02,58
2021-03,59
2021-04,42
2021-05,54
2021-06,41
2021-07,36
2021-08,50
2021-09,54
2021-10,50
2021-11,44
2021-12,30
2022-01,35
2022-02,39
2022-03,54
2022-04,55
2022-05,36
2022-06,29
2022-07,30
2022-08,32
2022-09,54
2022-10,57
2022-11,55
2022-12,41
2023-01,43
2023-02,51
2023-03,52
2023-04,41
2023-05,35
2023-06,39
2023-07,35
2023-08,43
2023-09,44
2023-10,50
2023-11,41
2023-12,42
2024-01,48
2024-02,49
2024-03,41
2024-04,53
2024-05,42
2024-06,24
2024-07,44
2024-08,44
2024-09,45
2024-10,48
2024-11,43
2024-12,29
2025-01,38
2025-02,33
2025-03,49
2025-04,46
2025-05,34
