Categoría: Todas las categorías

Mes,criminal justice: (Delaware)
2015-01,55
2015-02,69
2015-03,66
2015-04,88
2015-05,59
2015-06,0
2015-07,36
2015-08,71
2015-09,100
2015-10,88
2015-11,94
2015-12,59
2016-01,38
2016-02,72
2016-03,69
2016-04,88
2016-05,73
2016-06,57
2016-07,55
2016-08,54
2016-09,61
2016-10,93
2016-11,86
2016-12,74
2017-01,90
2017-02,60
2017-03,80
2017-04,71
2017-05,46
2017-06,53
2017-07,52
2017-08,56
2017-09,76
2017-10,75
2017-11,74
2017-12,58
2018-01,63
2018-02,76
2018-03,49
2018-04,69
2018-05,41
2018-06,31
2018-07,47
2018-08,61
2018-09,68
2018-10,71
2018-11,66
2018-12,65
2019-01,68
2019-02,68
2019-03,72
2019-04,91
2019-05,75
2019-06,47
2019-07,57
2019-08,58
2019-09,83
2019-10,78
2019-11,68
2019-12,48
2020-01,65
2020-02,69
2020-03,61
2020-04,67
2020-05,51
2020-06,54
2020-07,43
2020-08,58
2020-09,67
2020-10,72
2020-11,45
2020-12,60
2021-01,66
2021-02,61
2021-03,46
2021-04,42
2021-05,46
2021-06,21
2021-07,24
2021-08,49
2021-09,41
2021-10,49
2021-11,51
2021-12,33
2022-01,54
2022-02,51
2022-03,53
2022-04,66
2022-05,54
2022-06,36
2022-07,28
2022-08,40
2022-09,71
2022-10,45
2022-11,52
2022-12,43
2023-01,46
2023-02,86
2023-03,47
2023-04,58
2023-05,19
2023-06,41
2023-07,23
2023-08,38
2023-09,90
2023-10,44
2023-11,51
2023-12,44
2024-01,42
2024-02,60
2024-03,49
2024-04,60
2024-05,44
2024-06,28
2024-07,36
2024-08,45
2024-09,72
2024-10,74
2024-11,70
2024-12,46
2025-01,53
2025-02,69
2025-03,73
2025-04,78
2025-05,61
