Categoría: Todas las categorías

Mes,criminal justice: (Florida)
2015-01,97
2015-02,94
2015-03,88
2015-04,100
2015-05,94
2015-06,82
2015-07,84
2015-08,93
2015-09,99
2015-10,88
2015-11,94
2015-12,70
2016-01,90
2016-02,84
2016-03,83
2016-04,94
2016-05,83
2016-06,72
2016-07,72
2016-08,94
2016-09,89
2016-10,92
2016-11,76
2016-12,73
2017-01,87
2017-02,81
2017-03,81
2017-04,85
2017-05,78
2017-06,66
2017-07,63
2017-08,87
2017-09,67
2017-10,84
2017-11,82
2017-12,57
2018-01,84
2018-02,75
2018-03,76
2018-04,87
2018-05,74
2018-06,63
2018-07,72
2018-08,85
2018-09,84
2018-10,82
2018-11,79
2018-12,74
2019-01,83
2019-02,76
2019-03,69
2019-04,82
2019-05,78
2019-06,69
2019-07,70
2019-08,79
2019-09,78
2019-10,78
2019-11,67
2019-12,62
2020-01,80
2020-02,75
2020-03,61
2020-04,75
2020-05,75
2020-06,79
2020-07,65
2020-08,76
2020-09,88
2020-10,80
2020-11,62
2020-12,60
2021-01,64
2021-02,69
2021-03,62
2021-04,69
2021-05,61
2021-06,53
2021-07,46
2021-08,61
2021-09,76
2021-10,66
2021-11,67
2021-12,53
2022-01,69
2022-02,73
2022-03,73
2022-04,74
2022-05,63
2022-06,53
2022-07,58
2022-08,68
2022-09,70
2022-10,72
2022-11,63
2022-12,55
2023-01,68
2023-02,61
2023-03,63
2023-04,63
2023-05,61
2023-06,52
2023-07,49
2023-08,64
2023-09,68
2023-10,68
2023-11,59
2023-12,49
2024-01,69
2024-02,68
2024-03,60
2024-04,72
2024-05,66
2024-06,53
2024-07,51
2024-08,74
2024-09,76
2024-10,71
2024-11,60
2024-12,55
2025-01,71
2025-02,70
2025-03,65
2025-04,69
2025-05,67
