Categoría: Todas las categorías

Mes,criminal justice: (Georgia)
2015-01,95
2015-02,75
2015-03,90
2015-04,93
2015-05,75
2015-06,81
2015-07,80
2015-08,93
2015-09,90
2015-10,85
2015-11,77
2015-12,65
2016-01,92
2016-02,85
2016-03,77
2016-04,83
2016-05,89
2016-06,69
2016-07,73
2016-08,89
2016-09,82
2016-10,84
2016-11,72
2016-12,63
2017-01,88
2017-02,72
2017-03,75
2017-04,74
2017-05,75
2017-06,61
2017-07,61
2017-08,100
2017-09,77
2017-10,84
2017-11,74
2017-12,64
2018-01,80
2018-02,81
2018-03,79
2018-04,79
2018-05,76
2018-06,64
2018-07,62
2018-08,83
2018-09,76
2018-10,81
2018-11,80
2018-12,79
2019-01,83
2019-02,85
2019-03,80
2019-04,85
2019-05,79
2019-06,67
2019-07,66
2019-08,81
2019-09,87
2019-10,79
2019-11,68
2019-12,69
2020-01,84
2020-02,79
2020-03,61
2020-04,78
2020-05,72
2020-06,77
2020-07,56
2020-08,81
2020-09,77
2020-10,80
2020-11,65
2020-12,58
2021-01,73
2021-02,64
2021-03,59
2021-04,70
2021-05,62
2021-06,50
2021-07,47
2021-08,72
2021-09,66
2021-10,69
2021-11,65
2021-12,51
2022-01,74
2022-02,79
2022-03,78
2022-04,97
2022-05,76
2022-06,56
2022-07,53
2022-08,78
2022-09,81
2022-10,84
2022-11,70
2022-12,58
2023-01,77
2023-02,73
2023-03,75
2023-04,80
2023-05,74
2023-06,55
2023-07,51
2023-08,76
2023-09,79
2023-10,75
2023-11,72
2023-12,61
2024-01,80
2024-02,70
2024-03,72
2024-04,85
2024-05,66
2024-06,55
2024-07,60
2024-08,78
2024-09,72
2024-10,85
2024-11,72
2024-12,62
2025-01,81
2025-02,75
2025-03,79
2025-04,87
2025-05,79
