Categoría: Todas las categorías

Mes,criminal justice: (Hawái)
2015-01,58
2015-02,71
2015-03,50
2015-04,89
2015-05,63
2015-06,84
2015-07,98
2015-08,98
2015-09,92
2015-10,87
2015-11,51
2015-12,79
2016-01,65
2016-02,85
2016-03,81
2016-04,84
2016-05,71
2016-06,64
2016-07,68
2016-08,74
2016-09,71
2016-10,71
2016-11,66
2016-12,51
2017-01,65
2017-02,50
2017-03,77
2017-04,68
2017-05,97
2017-06,57
2017-07,42
2017-08,74
2017-09,59
2017-10,66
2017-11,100
2017-12,55
2018-01,79
2018-02,63
2018-03,73
2018-04,81
2018-05,53
2018-06,73
2018-07,60
2018-08,55
2018-09,76
2018-10,93
2018-11,66
2018-12,70
2019-01,70
2019-02,69
2019-03,54
2019-04,83
2019-05,86
2019-06,63
2019-07,70
2019-08,72
2019-09,40
2019-10,65
2019-11,61
2019-12,53
2020-01,64
2020-02,62
2020-03,61
2020-04,65
2020-05,84
2020-06,73
2020-07,59
2020-08,84
2020-09,82
2020-10,82
2020-11,60
2020-12,54
2021-01,62
2021-02,53
2021-03,41
2021-04,58
2021-05,73
2021-06,26
2021-07,39
2021-08,39
2021-09,46
2021-10,71
2021-11,65
2021-12,45
2022-01,59
2022-02,55
2022-03,76
2022-04,72
2022-05,57
2022-06,57
2022-07,44
2022-08,76
2022-09,64
2022-10,54
2022-11,55
2022-12,54
2023-01,55
2023-02,61
2023-03,75
2023-04,62
2023-05,72
2023-06,34
2023-07,50
2023-08,42
2023-09,50
2023-10,67
2023-11,40
2023-12,50
2024-01,45
2024-02,52
2024-03,64
2024-04,70
2024-05,50
2024-06,49
2024-07,43
2024-08,30
2024-09,76
2024-10,52
2024-11,65
2024-12,50
2025-01,44
2025-02,42
2025-03,57
2025-04,49
2025-05,53
