Categoría: Todas las categorías

Mes,criminal justice: (Iowa)
2015-01,92
2015-02,79
2015-03,65
2015-04,93
2015-05,79
2015-06,59
2015-07,51
2015-08,75
2015-09,83
2015-10,88
2015-11,89
2015-12,62
2016-01,78
2016-02,83
2016-03,90
2016-04,87
2016-05,75
2016-06,44
2016-07,37
2016-08,70
2016-09,80
2016-10,95
2016-11,70
2016-12,65
2017-01,88
2017-02,71
2017-03,72
2017-04,66
2017-05,46
2017-06,43
2017-07,33
2017-08,63
2017-09,82
2017-10,81
2017-11,69
2017-12,71
2018-01,63
2018-02,66
2018-03,76
2018-04,78
2018-05,64
2018-06,40
2018-07,47
2018-08,70
2018-09,84
2018-10,79
2018-11,65
2018-12,70
2019-01,73
2019-02,77
2019-03,85
2019-04,85
2019-05,65
2019-06,45
2019-07,48
2019-08,69
2019-09,93
2019-10,100
2019-11,69
2019-12,76
2020-01,72
2020-02,75
2020-03,58
2020-04,54
2020-05,61
2020-06,61
2020-07,57
2020-08,66
2020-09,75
2020-10,87
2020-11,42
2020-12,44
2021-01,57
2021-02,64
2021-03,56
2021-04,55
2021-05,42
2021-06,32
2021-07,41
2021-08,42
2021-09,83
2021-10,61
2021-11,54
2021-12,50
2022-01,59
2022-02,73
2022-03,76
2022-04,80
2022-05,68
2022-06,46
2022-07,37
2022-08,57
2022-09,80
2022-10,71
2022-11,52
2022-12,72
2023-01,71
2023-02,69
2023-03,59
2023-04,63
2023-05,51
2023-06,39
2023-07,35
2023-08,53
2023-09,68
2023-10,76
2023-11,67
2023-12,55
2024-01,67
2024-02,67
2024-03,62
2024-04,70
2024-05,57
2024-06,45
2024-07,27
2024-08,54
2024-09,73
2024-10,86
2024-11,68
2024-12,68
2025-01,57
2025-02,71
2025-03,67
2025-04,72
2025-05,68
