Categoría: Todas las categorías

Mes,criminal justice: (Idaho)
2015-01,90
2015-02,100
2015-03,87
2015-04,100
2015-05,60
2015-06,42
2015-07,68
2015-08,46
2015-09,60
2015-10,91
2015-11,36
2015-12,51
2016-01,83
2016-02,90
2016-03,63
2016-04,72
2016-05,44
2016-06,35
2016-07,28
2016-08,51
2016-09,61
2016-10,67
2016-11,76
2016-12,62
2017-01,81
2017-02,86
2017-03,70
2017-04,83
2017-05,61
2017-06,48
2017-07,35
2017-08,51
2017-09,46
2017-10,72
2017-11,86
2017-12,57
2018-01,68
2018-02,58
2018-03,57
2018-04,61
2018-05,49
2018-06,52
2018-07,43
2018-08,40
2018-09,55
2018-10,63
2018-11,70
2018-12,51
2019-01,69
2019-02,56
2019-03,49
2019-04,57
2019-05,58
2019-06,41
2019-07,46
2019-08,36
2019-09,60
2019-10,63
2019-11,51
2019-12,29
2020-01,59
2020-02,67
2020-03,44
2020-04,57
2020-05,45
2020-06,45
2020-07,44
2020-08,47
2020-09,70
2020-10,44
2020-11,32
2020-12,31
2021-01,45
2021-02,44
2021-03,29
2021-04,49
2021-05,41
2021-06,32
2021-07,34
2021-08,38
2021-09,43
2021-10,48
2021-11,42
2021-12,24
2022-01,43
2022-02,51
2022-03,58
2022-04,52
2022-05,37
2022-06,27
2022-07,30
2022-08,48
2022-09,61
2022-10,56
2022-11,41
2022-12,53
2023-01,66
2023-02,51
2023-03,35
2023-04,67
2023-05,46
2023-06,25
2023-07,35
2023-08,39
2023-09,44
2023-10,60
2023-11,40
2023-12,36
2024-01,57
2024-02,51
2024-03,50
2024-04,50
2024-05,49
2024-06,32
2024-07,38
2024-08,69
2024-09,67
2024-10,56
2024-11,46
2024-12,60
2025-01,51
2025-02,67
2025-03,65
2025-04,49
2025-05,54
