Categoría: Todas las categorías

Mes,criminal justice: (Illinois)
2015-01,97
2015-02,92
2015-03,86
2015-04,81
2015-05,79
2015-06,62
2015-07,60
2015-08,74
2015-09,88
2015-10,86
2015-11,81
2015-12,68
2016-01,76
2016-02,80
2016-03,79
2016-04,79
2016-05,73
2016-06,48
2016-07,59
2016-08,78
2016-09,84
2016-10,82
2016-11,72
2016-12,58
2017-01,84
2017-02,74
2017-03,71
2017-04,73
2017-05,72
2017-06,56
2017-07,51
2017-08,74
2017-09,78
2017-10,82
2017-11,71
2017-12,65
2018-01,79
2018-02,72
2018-03,70
2018-04,76
2018-05,71
2018-06,55
2018-07,53
2018-08,73
2018-09,75
2018-10,82
2018-11,75
2018-12,84
2019-01,77
2019-02,80
2019-03,77
2019-04,92
2019-05,78
2019-06,60
2019-07,62
2019-08,74
2019-09,79
2019-10,84
2019-11,79
2019-12,59
2020-01,80
2020-02,88
2020-03,61
2020-04,73
2020-05,68
2020-06,69
2020-07,57
2020-08,69
2020-09,82
2020-10,76
2020-11,59
2020-12,64
2021-01,100
2021-02,89
2021-03,72
2021-04,67
2021-05,62
2021-06,55
2021-07,48
2021-08,60
2021-09,67
2021-10,67
2021-11,66
2021-12,60
2022-01,72
2022-02,71
2022-03,75
2022-04,76
2022-05,64
2022-06,48
2022-07,48
2022-08,74
2022-09,90
2022-10,81
2022-11,66
2022-12,69
2023-01,74
2023-02,73
2023-03,63
2023-04,72
2023-05,57
2023-06,46
2023-07,48
2023-08,62
2023-09,76
2023-10,76
2023-11,65
2023-12,60
2024-01,71
2024-02,73
2024-03,71
2024-04,79
2024-05,66
2024-06,44
2024-07,46
2024-08,67
2024-09,71
2024-10,77
2024-11,72
2024-12,59
2025-01,79
2025-02,79
2025-03,59
2025-04,70
2025-05,77
