Categoría: Todas las categorías

Mes,criminal justice: (Kansas)
2015-01,89
2015-02,80
2015-03,60
2015-04,87
2015-05,64
2015-06,51
2015-07,57
2015-08,82
2015-09,100
2015-10,51
2015-11,47
2015-12,21
2016-01,61
2016-02,61
2016-03,61
2016-04,63
2016-05,71
2016-06,50
2016-07,45
2016-08,66
2016-09,77
2016-10,52
2016-11,65
2016-12,59
2017-01,57
2017-02,62
2017-03,60
2017-04,73
2017-05,59
2017-06,45
2017-07,39
2017-08,48
2017-09,69
2017-10,62
2017-11,62
2017-12,53
2018-01,52
2018-02,56
2018-03,54
2018-04,67
2018-05,55
2018-06,39
2018-07,41
2018-08,62
2018-09,65
2018-10,58
2018-11,56
2018-12,56
2019-01,56
2019-02,55
2019-03,50
2019-04,56
2019-05,55
2019-06,41
2019-07,42
2019-08,71
2019-09,59
2019-10,78
2019-11,58
2019-12,47
2020-01,57
2020-02,55
2020-03,54
2020-04,62
2020-05,63
2020-06,62
2020-07,53
2020-08,69
2020-09,73
2020-10,77
2020-11,43
2020-12,56
2021-01,53
2021-02,56
2021-03,59
2021-04,56
2021-05,64
2021-06,60
2021-07,30
2021-08,46
2021-09,62
2021-10,61
2021-11,48
2021-12,43
2022-01,55
2022-02,63
2022-03,53
2022-04,67
2022-05,43
2022-06,37
2022-07,35
2022-08,53
2022-09,57
2022-10,64
2022-11,56
2022-12,49
2023-01,45
2023-02,54
2023-03,42
2023-04,54
2023-05,45
2023-06,30
2023-07,37
2023-08,43
2023-09,57
2023-10,57
2023-11,68
2023-12,46
2024-01,51
2024-02,60
2024-03,45
2024-04,58
2024-05,53
2024-06,36
2024-07,40
2024-08,51
2024-09,78
2024-10,74
2024-11,56
2024-12,47
2025-01,39
2025-02,54
2025-03,59
2025-04,60
2025-05,54
