Categoría: Todas las categorías

Mes,criminal justice: (Kentucky)
2015-01,78
2015-02,76
2015-03,73
2015-04,81
2015-05,84
2015-06,65
2015-07,69
2015-08,86
2015-09,84
2015-10,92
2015-11,95
2015-12,77
2016-01,80
2016-02,73
2016-03,74
2016-04,70
2016-05,73
2016-06,57
2016-07,58
2016-08,82
2016-09,100
2016-10,84
2016-11,81
2016-12,64
2017-01,70
2017-02,85
2017-03,75
2017-04,67
2017-05,66
2017-06,57
2017-07,61
2017-08,72
2017-09,68
2017-10,78
2017-11,69
2017-12,60
2018-01,63
2018-02,70
2018-03,66
2018-04,68
2018-05,56
2018-06,50
2018-07,51
2018-08,70
2018-09,64
2018-10,71
2018-11,58
2018-12,73
2019-01,74
2019-02,76
2019-03,61
2019-04,70
2019-05,74
2019-06,38
2019-07,48
2019-08,73
2019-09,76
2019-10,77
2019-11,56
2019-12,57
2020-01,76
2020-02,62
2020-03,53
2020-04,56
2020-05,52
2020-06,54
2020-07,48
2020-08,68
2020-09,85
2020-10,79
2020-11,62
2020-12,44
2021-01,53
2021-02,70
2021-03,70
2021-04,65
2021-05,56
2021-06,51
2021-07,46
2021-08,52
2021-09,58
2021-10,69
2021-11,65
2021-12,55
2022-01,63
2022-02,64
2022-03,70
2022-04,80
2022-05,49
2022-06,41
2022-07,45
2022-08,72
2022-09,76
2022-10,65
2022-11,59
2022-12,46
2023-01,67
2023-02,66
2023-03,60
2023-04,61
2023-05,56
2023-06,35
2023-07,34
2023-08,72
2023-09,68
2023-10,76
2023-11,66
2023-12,60
2024-01,67
2024-02,71
2024-03,69
2024-04,72
2024-05,49
2024-06,41
2024-07,49
2024-08,64
2024-09,83
2024-10,74
2024-11,66
2024-12,53
2025-01,73
2025-02,80
2025-03,70
2025-04,83
2025-05,72
