Categoría: Todas las categorías

Mes,criminal justice: (Luisiana)
2015-01,80
2015-02,74
2015-03,76
2015-04,78
2015-05,80
2015-06,59
2015-07,57
2015-08,100
2015-09,99
2015-10,93
2015-11,74
2015-12,68
2016-01,72
2016-02,65
2016-03,68
2016-04,73
2016-05,55
2016-06,53
2016-07,53
2016-08,74
2016-09,73
2016-10,81
2016-11,76
2016-12,58
2017-01,77
2017-02,77
2017-03,69
2017-04,75
2017-05,74
2017-06,60
2017-07,56
2017-08,77
2017-09,76
2017-10,79
2017-11,73
2017-12,56
2018-01,75
2018-02,70
2018-03,62
2018-04,89
2018-05,72
2018-06,57
2018-07,63
2018-08,73
2018-09,75
2018-10,61
2018-11,65
2018-12,66
2019-01,84
2019-02,67
2019-03,65
2019-04,77
2019-05,68
2019-06,59
2019-07,56
2019-08,84
2019-09,79
2019-10,73
2019-11,73
2019-12,56
2020-01,70
2020-02,73
2020-03,56
2020-04,57
2020-05,60
2020-06,62
2020-07,57
2020-08,64
2020-09,62
2020-10,66
2020-11,51
2020-12,45
2021-01,58
2021-02,51
2021-03,63
2021-04,59
2021-05,62
2021-06,46
2021-07,48
2021-08,57
2021-09,66
2021-10,53
2021-11,50
2021-12,46
2022-01,70
2022-02,66
2022-03,67
2022-04,59
2022-05,76
2022-06,45
2022-07,42
2022-08,73
2022-09,65
2022-10,67
2022-11,59
2022-12,50
2023-01,65
2023-02,58
2023-03,57
2023-04,63
2023-05,65
2023-06,43
2023-07,46
2023-08,76
2023-09,64
2023-10,61
2023-11,58
2023-12,47
2024-01,60
2024-02,64
2024-03,64
2024-04,71
2024-05,61
2024-06,45
2024-07,47
2024-08,62
2024-09,70
2024-10,68
2024-11,55
2024-12,62
2025-01,68
2025-02,65
2025-03,65
2025-04,66
2025-05,69
