Categoría: Todas las categorías

Mes,criminal justice: (Massachusetts)
2015-01,83
2015-02,68
2015-03,84
2015-04,82
2015-05,74
2015-06,66
2015-07,55
2015-08,58
2015-09,90
2015-10,89
2015-11,86
2015-12,67
2016-01,75
2016-02,91
2016-03,77
2016-04,82
2016-05,70
2016-06,48
2016-07,58
2016-08,69
2016-09,95
2016-10,87
2016-11,73
2016-12,68
2017-01,80
2017-02,81
2017-03,75
2017-04,84
2017-05,78
2017-06,50
2017-07,51
2017-08,55
2017-09,82
2017-10,94
2017-11,90
2017-12,64
2018-01,70
2018-02,77
2018-03,73
2018-04,100
2018-05,74
2018-06,52
2018-07,58
2018-08,65
2018-09,87
2018-10,86
2018-11,72
2018-12,87
2019-01,79
2019-02,81
2019-03,72
2019-04,85
2019-05,75
2019-06,68
2019-07,58
2019-08,67
2019-09,99
2019-10,88
2019-11,79
2019-12,65
2020-01,84
2020-02,87
2020-03,62
2020-04,70
2020-05,66
2020-06,73
2020-07,59
2020-08,61
2020-09,86
2020-10,80
2020-11,60
2020-12,63
2021-01,64
2021-02,72
2021-03,62
2021-04,64
2021-05,62
2021-06,43
2021-07,41
2021-08,53
2021-09,76
2021-10,77
2021-11,70
2021-12,55
2022-01,75
2022-02,74
2022-03,72
2022-04,72
2022-05,66
2022-06,52
2022-07,46
2022-08,56
2022-09,85
2022-10,81
2022-11,70
2022-12,59
2023-01,69
2023-02,74
2023-03,62
2023-04,67
2023-05,57
2023-06,38
2023-07,38
2023-08,46
2023-09,74
2023-10,71
2023-11,71
2023-12,54
2024-01,68
2024-02,63
2024-03,60
2024-04,66
2024-05,64
2024-06,48
2024-07,42
2024-08,48
2024-09,81
2024-10,82
2024-11,68
2024-12,65
2025-01,73
2025-02,70
2025-03,73
2025-04,74
2025-05,65
