Categoría: Todas las categorías

Mes,criminal justice: (Maryland)
2015-01,77
2015-02,100
2015-03,86
2015-04,95
2015-05,85
2015-06,66
2015-07,70
2015-08,74
2015-09,86
2015-10,92
2015-11,87
2015-12,78
2016-01,78
2016-02,89
2016-03,77
2016-04,93
2016-05,79
2016-06,64
2016-07,76
2016-08,75
2016-09,90
2016-10,88
2016-11,76
2016-12,61
2017-01,80
2017-02,84
2017-03,80
2017-04,64
2017-05,68
2017-06,62
2017-07,53
2017-08,62
2017-09,77
2017-10,79
2017-11,76
2017-12,58
2018-01,70
2018-02,78
2018-03,61
2018-04,70
2018-05,72
2018-06,59
2018-07,57
2018-08,63
2018-09,71
2018-10,79
2018-11,73
2018-12,76
2019-01,80
2019-02,78
2019-03,75
2019-04,68
2019-05,69
2019-06,62
2019-07,57
2019-08,61
2019-09,76
2019-10,79
2019-11,73
2019-12,68
2020-01,66
2020-02,81
2020-03,59
2020-04,65
2020-05,72
2020-06,75
2020-07,58
2020-08,75
2020-09,81
2020-10,81
2020-11,60
2020-12,55
2021-01,64
2021-02,68
2021-03,67
2021-04,66
2021-05,62
2021-06,44
2021-07,44
2021-08,51
2021-09,73
2021-10,68
2021-11,64
2021-12,55
2022-01,69
2022-02,78
2022-03,67
2022-04,73
2022-05,70
2022-06,54
2022-07,53
2022-08,60
2022-09,76
2022-10,71
2022-11,63
2022-12,57
2023-01,65
2023-02,67
2023-03,67
2023-04,60
2023-05,68
2023-06,47
2023-07,47
2023-08,57
2023-09,69
2023-10,74
2023-11,59
2023-12,57
2024-01,57
2024-02,65
2024-03,65
2024-04,72
2024-05,62
2024-06,45
2024-07,46
2024-08,56
2024-09,72
2024-10,71
2024-11,53
2024-12,55
2025-01,56
2025-02,69
2025-03,61
2025-04,68
2025-05,65
