Categoría: Todas las categorías

Mes,criminal justice: (Míchigan)
2015-01,93
2015-02,100
2015-03,92
2015-04,91
2015-05,78
2015-06,64
2015-07,62
2015-08,64
2015-09,91
2015-10,90
2015-11,80
2015-12,66
2016-01,90
2016-02,77
2016-03,84
2016-04,83
2016-05,66
2016-06,59
2016-07,58
2016-08,66
2016-09,85
2016-10,82
2016-11,72
2016-12,64
2017-01,81
2017-02,78
2017-03,75
2017-04,75
2017-05,64
2017-06,52
2017-07,46
2017-08,60
2017-09,75
2017-10,75
2017-11,77
2017-12,64
2018-01,78
2018-02,85
2018-03,75
2018-04,79
2018-05,62
2018-06,51
2018-07,51
2018-08,64
2018-09,79
2018-10,81
2018-11,65
2018-12,72
2019-01,77
2019-02,81
2019-03,62
2019-04,80
2019-05,64
2019-06,60
2019-07,51
2019-08,57
2019-09,81
2019-10,83
2019-11,69
2019-12,59
2020-01,76
2020-02,78
2020-03,53
2020-04,67
2020-05,58
2020-06,59
2020-07,48
2020-08,57
2020-09,79
2020-10,71
2020-11,57
2020-12,63
2021-01,72
2021-02,62
2021-03,50
2021-04,61
2021-05,52
2021-06,46
2021-07,40
2021-08,46
2021-09,66
2021-10,62
2021-11,54
2021-12,52
2022-01,69
2022-02,66
2022-03,65
2022-04,73
2022-05,62
2022-06,50
2022-07,46
2022-08,58
2022-09,78
2022-10,73
2022-11,58
2022-12,56
2023-01,75
2023-02,72
2023-03,63
2023-04,71
2023-05,47
2023-06,49
2023-07,42
2023-08,50
2023-09,70
2023-10,71
2023-11,58
2023-12,58
2024-01,68
2024-02,71
2024-03,59
2024-04,72
2024-05,52
2024-06,47
2024-07,41
2024-08,63
2024-09,84
2024-10,83
2024-11,62
2024-12,60
2025-01,75
2025-02,78
2025-03,76
2025-04,73
2025-05,65
