Categoría: Todas las categorías

Mes,criminal justice: (Minnesota)
2015-01,87
2015-02,78
2015-03,83
2015-04,100
2015-05,70
2015-06,67
2015-07,62
2015-08,71
2015-09,87
2015-10,92
2015-11,85
2015-12,67
2016-01,87
2016-02,85
2016-03,76
2016-04,81
2016-05,83
2016-06,48
2016-07,58
2016-08,80
2016-09,84
2016-10,77
2016-11,74
2016-12,59
2017-01,87
2017-02,80
2017-03,62
2017-04,78
2017-05,72
2017-06,54
2017-07,53
2017-08,51
2017-09,75
2017-10,73
2017-11,76
2017-12,59
2018-01,67
2018-02,69
2018-03,64
2018-04,81
2018-05,61
2018-06,51
2018-07,54
2018-08,59
2018-09,70
2018-10,81
2018-11,71
2018-12,80
2019-01,62
2019-02,77
2019-03,59
2019-04,69
2019-05,64
2019-06,54
2019-07,42
2019-08,64
2019-09,80
2019-10,78
2019-11,64
2019-12,66
2020-01,77
2020-02,77
2020-03,58
2020-04,70
2020-05,73
2020-06,71
2020-07,56
2020-08,65
2020-09,79
2020-10,86
2020-11,57
2020-12,64
2021-01,61
2021-02,77
2021-03,63
2021-04,76
2021-05,68
2021-06,85
2021-07,57
2021-08,65
2021-09,75
2021-10,61
2021-11,50
2021-12,50
2022-01,64
2022-02,58
2022-03,60
2022-04,86
2022-05,66
2022-06,51
2022-07,40
2022-08,50
2022-09,66
2022-10,76
2022-11,71
2022-12,66
2023-01,71
2023-02,68
2023-03,66
2023-04,63
2023-05,61
2023-06,38
2023-07,33
2023-08,55
2023-09,65
2023-10,74
2023-11,78
2023-12,56
2024-01,74
2024-02,65
2024-03,61
2024-04,68
2024-05,51
2024-06,46
2024-07,53
2024-08,44
2024-09,94
2024-10,86
2024-11,71
2024-12,71
2025-01,67
2025-02,73
2025-03,59
2025-04,76
2025-05,65
