Categoría: Todas las categorías

Mes,criminal justice: (Misuri)
2015-01,86
2015-02,81
2015-03,72
2015-04,82
2015-05,66
2015-06,63
2015-07,60
2015-08,78
2015-09,100
2015-10,75
2015-11,82
2015-12,72
2016-01,87
2016-02,82
2016-03,67
2016-04,73
2016-05,65
2016-06,63
2016-07,61
2016-08,82
2016-09,85
2016-10,73
2016-11,68
2016-12,59
2017-01,72
2017-02,76
2017-03,62
2017-04,75
2017-05,66
2017-06,46
2017-07,42
2017-08,66
2017-09,77
2017-10,70
2017-11,68
2017-12,53
2018-01,86
2018-02,72
2018-03,71
2018-04,66
2018-05,67
2018-06,53
2018-07,44
2018-08,61
2018-09,70
2018-10,74
2018-11,69
2018-12,75
2019-01,66
2019-02,68
2019-03,63
2019-04,62
2019-05,67
2019-06,56
2019-07,53
2019-08,71
2019-09,79
2019-10,77
2019-11,68
2019-12,45
2020-01,69
2020-02,76
2020-03,53
2020-04,57
2020-05,58
2020-06,62
2020-07,49
2020-08,69
2020-09,78
2020-10,64
2020-11,54
2020-12,52
2021-01,52
2021-02,57
2021-03,50
2021-04,52
2021-05,55
2021-06,44
2021-07,39
2021-08,44
2021-09,66
2021-10,49
2021-11,58
2021-12,46
2022-01,60
2022-02,61
2022-03,64
2022-04,71
2022-05,62
2022-06,40
2022-07,42
2022-08,50
2022-09,56
2022-10,72
2022-11,58
2022-12,58
2023-01,58
2023-02,57
2023-03,53
2023-04,58
2023-05,53
2023-06,41
2023-07,36
2023-08,56
2023-09,63
2023-10,57
2023-11,57
2023-12,46
2024-01,60
2024-02,68
2024-03,65
2024-04,62
2024-05,47
2024-06,40
2024-07,41
2024-08,55
2024-09,72
2024-10,62
2024-11,65
2024-12,51
2025-01,66
2025-02,74
2025-03,56
2025-04,67
2025-05,64
