Categoría: Todas las categorías

Mes,criminal justice: (Misisipi)
2015-01,100
2015-02,62
2015-03,76
2015-04,88
2015-05,85
2015-06,43
2015-07,62
2015-08,70
2015-09,95
2015-10,94
2015-11,81
2015-12,52
2016-01,70
2016-02,67
2016-03,77
2016-04,87
2016-05,60
2016-06,39
2016-07,34
2016-08,77
2016-09,65
2016-10,76
2016-11,70
2016-12,54
2017-01,70
2017-02,74
2017-03,72
2017-04,59
2017-05,45
2017-06,39
2017-07,54
2017-08,68
2017-09,85
2017-10,81
2017-11,66
2017-12,42
2018-01,69
2018-02,61
2018-03,54
2018-04,76
2018-05,52
2018-06,46
2018-07,50
2018-08,71
2018-09,68
2018-10,72
2018-11,46
2018-12,62
2019-01,70
2019-02,56
2019-03,60
2019-04,67
2019-05,55
2019-06,32
2019-07,47
2019-08,55
2019-09,75
2019-10,44
2019-11,54
2019-12,48
2020-01,48
2020-02,62
2020-03,55
2020-04,56
2020-05,47
2020-06,51
2020-07,39
2020-08,54
2020-09,61
2020-10,59
2020-11,52
2020-12,32
2021-01,49
2021-02,46
2021-03,49
2021-04,46
2021-05,40
2021-06,30
2021-07,26
2021-08,49
2021-09,58
2021-10,49
2021-11,57
2021-12,41
2022-01,48
2022-02,59
2022-03,53
2022-04,68
2022-05,54
2022-06,37
2022-07,44
2022-08,60
2022-09,62
2022-10,50
2022-11,44
2022-12,45
2023-01,58
2023-02,65
2023-03,51
2023-04,58
2023-05,47
2023-06,38
2023-07,38
2023-08,54
2023-09,63
2023-10,52
2023-11,46
2023-12,33
2024-01,44
2024-02,51
2024-03,52
2024-04,55
2024-05,45
2024-06,38
2024-07,40
2024-08,54
2024-09,65
2024-10,66
2024-11,55
2024-12,40
2025-01,52
2025-02,53
2025-03,60
2025-04,52
2025-05,64
