Category: All categories

Month,criminal justice: (North Carolina)
2015-01,92
2015-02,90
2015-03,92
2015-04,92
2015-05,83
2015-06,77
2015-07,76
2015-08,97
2015-09,100
2015-10,88
2015-11,88
2015-12,76
2016-01,81
2016-02,85
2016-03,83
2016-04,88
2016-05,88
2016-06,58
2016-07,71
2016-08,82
2016-09,89
2016-10,84
2016-11,83
2016-12,67
2017-01,78
2017-02,79
2017-03,78
2017-04,80
2017-05,69
2017-06,57
2017-07,56
2017-08,80
2017-09,85
2017-10,80
2017-11,85
2017-12,57
2018-01,74
2018-02,75
2018-03,76
2018-04,78
2018-05,67
2018-06,56
2018-07,54
2018-08,78
2018-09,70
2018-10,85
2018-11,75
2018-12,76
2019-01,78
2019-02,78
2019-03,69
2019-04,76
2019-05,68
2019-06,60
2019-07,66
2019-08,76
2019-09,87
2019-10,84
2019-11,78
2019-12,62
2020-01,80
2020-02,82
2020-03,58
2020-04,64
2020-05,68
2020-06,67
2020-07,60
2020-08,74
2020-09,78
2020-10,78
2020-11,62
2020-12,51
2021-01,64
2021-02,66
2021-03,58
2021-04,67
2021-05,64
2021-06,48
2021-07,49
2021-08,65
2021-09,67
2021-10,67
2021-11,60
2021-12,53
2022-01,61
2022-02,69
2022-03,71
2022-04,70
2022-05,66
2022-06,48
2022-07,51
2022-08,66
2022-09,78
2022-10,76
2022-11,65
2022-12,59
2023-01,70
2023-02,74
2023-03,76
2023-04,66
2023-05,68
2023-06,49
2023-07,46
2023-08,65
2023-09,76
2023-10,73
2023-11,68
2023-12,55
2024-01,68
2024-02,76
2024-03,67
2024-04,72
2024-05,66
2024-06,51
2024-07,45
2024-08,57
2024-09,81
2024-10,82
2024-11,66
2024-12,67
2025-01,76
2025-02,79
2025-03,70
2025-04,76
2025-05,72
