Categoría: Todas las categorías

Mes,criminal justice: (Dakota del Norte)
2015-01,80
2015-02,53
2015-03,55
2015-04,67
2015-05,62
2015-06,0
2015-07,0
2015-08,59
2015-09,50
2015-10,58
2015-11,94
2015-12,0
2016-01,59
2016-02,51
2016-03,79
2016-04,78
2016-05,55
2016-06,0
2016-07,41
2016-08,87
2016-09,65
2016-10,83
2016-11,31
2016-12,0
2017-01,48
2017-02,62
2017-03,78
2017-04,82
2017-05,38
2017-06,0
2017-07,0
2017-08,39
2017-09,69
2017-10,73
2017-11,53
2017-12,51
2018-01,67
2018-02,53
2018-03,43
2018-04,52
2018-05,49
2018-06,42
2018-07,0
2018-08,61
2018-09,65
2018-10,55
2018-11,44
2018-12,46
2019-01,76
2019-02,65
2019-03,66
2019-04,71
2019-05,44
2019-06,47
2019-07,33
2019-08,51
2019-09,55
2019-10,72
2019-11,77
2019-12,52
2020-01,71
2020-02,49
2020-03,48
2020-04,43
2020-05,54
2020-06,29
2020-07,49
2020-08,62
2020-09,90
2020-10,67
2020-11,45
2020-12,39
2021-01,46
2021-02,62
2021-03,64
2021-04,90
2021-05,75
2021-06,44
2021-07,41
2021-08,51
2021-09,78
2021-10,100
2021-11,57
2021-12,33
2022-01,94
2022-02,62
2022-03,45
2022-04,59
2022-05,61
2022-06,0
2022-07,46
2022-08,75
2022-09,82
2022-10,65
2022-11,51
2022-12,30
2023-01,51
2023-02,56
2023-03,64
2023-04,50
2023-05,48
2023-06,47
2023-07,0
2023-08,57
2023-09,59
2023-10,45
2023-11,45
2023-12,47
2024-01,40
2024-02,57
2024-03,65
2024-04,65
2024-05,35
2024-06,0
2024-07,0
2024-08,55
2024-09,59
2024-10,80
2024-11,37
2024-12,41
2025-01,71
2025-02,32
2025-03,59
2025-04,45
2025-05,56
