Categoría: Todas las categorías

Mes,criminal justice: (Nuevo Hampshire)
2015-01,78
2015-02,73
2015-03,60
2015-04,88
2015-05,80
2015-06,44
2015-07,43
2015-08,66
2015-09,70
2015-10,83
2015-11,79
2015-12,56
2016-01,70
2016-02,92
2016-03,63
2016-04,78
2016-05,62
2016-06,30
2016-07,51
2016-08,54
2016-09,91
2016-10,76
2016-11,86
2016-12,73
2017-01,76
2017-02,63
2017-03,73
2017-04,59
2017-05,54
2017-06,66
2017-07,34
2017-08,31
2017-09,75
2017-10,67
2017-11,57
2017-12,61
2018-01,64
2018-02,88
2018-03,58
2018-04,77
2018-05,65
2018-06,45
2018-07,38
2018-08,46
2018-09,62
2018-10,87
2018-11,75
2018-12,56
2019-01,71
2019-02,53
2019-03,60
2019-04,58
2019-05,77
2019-06,57
2019-07,31
2019-08,46
2019-09,60
2019-10,80
2019-11,66
2019-12,57
2020-01,69
2020-02,74
2020-03,49
2020-04,60
2020-05,59
2020-06,53
2020-07,42
2020-08,63
2020-09,100
2020-10,95
2020-11,51
2020-12,54
2021-01,50
2021-02,62
2021-03,88
2021-04,79
2021-05,45
2021-06,45
2021-07,48
2021-08,41
2021-09,76
2021-10,81
2021-11,65
2021-12,40
2022-01,83
2022-02,56
2022-03,69
2022-04,66
2022-05,45
2022-06,55
2022-07,32
2022-08,49
2022-09,79
2022-10,67
2022-11,60
2022-12,41
2023-01,55
2023-02,57
2023-03,47
2023-04,46
2023-05,56
2023-06,47
2023-07,22
2023-08,45
2023-09,70
2023-10,69
2023-11,42
2023-12,48
2024-01,41
2024-02,48
2024-03,60
2024-04,59
2024-05,60
2024-06,27
2024-07,28
2024-08,41
2024-09,60
2024-10,48
2024-11,64
2024-12,46
2025-01,39
2025-02,60
2025-03,56
2025-04,63
2025-05,49
