Categoría: Todas las categorías

Mes,criminal justice: (Nueva Jersey)
2015-01,78
2015-02,82
2015-03,77
2015-04,95
2015-05,79
2015-06,57
2015-07,54
2015-08,57
2015-09,100
2015-10,86
2015-11,80
2015-12,69
2016-01,77
2016-02,77
2016-03,71
2016-04,81
2016-05,66
2016-06,52
2016-07,57
2016-08,67
2016-09,84
2016-10,88
2016-11,77
2016-12,64
2017-01,69
2017-02,75
2017-03,70
2017-04,70
2017-05,68
2017-06,50
2017-07,51
2017-08,53
2017-09,80
2017-10,83
2017-11,72
2017-12,61
2018-01,76
2018-02,72
2018-03,63
2018-04,72
2018-05,65
2018-06,43
2018-07,44
2018-08,48
2018-09,83
2018-10,81
2018-11,70
2018-12,69
2019-01,76
2019-02,65
2019-03,65
2019-04,75
2019-05,64
2019-06,48
2019-07,46
2019-08,50
2019-09,83
2019-10,71
2019-11,63
2019-12,57
2020-01,74
2020-02,72
2020-03,52
2020-04,66
2020-05,60
2020-06,54
2020-07,47
2020-08,48
2020-09,68
2020-10,65
2020-11,51
2020-12,68
2021-01,61
2021-02,59
2021-03,54
2021-04,52
2021-05,51
2021-06,39
2021-07,31
2021-08,46
2021-09,59
2021-10,55
2021-11,53
2021-12,43
2022-01,62
2022-02,59
2022-03,59
2022-04,63
2022-05,60
2022-06,44
2022-07,36
2022-08,51
2022-09,86
2022-10,71
2022-11,60
2022-12,57
2023-01,62
2023-02,64
2023-03,59
2023-04,56
2023-05,53
2023-06,43
2023-07,37
2023-08,43
2023-09,67
2023-10,65
2023-11,55
2023-12,50
2024-01,60
2024-02,62
2024-03,57
2024-04,62
2024-05,51
2024-06,41
2024-07,38
2024-08,42
2024-09,67
2024-10,63
2024-11,60
2024-12,53
2025-01,67
2025-02,61
2025-03,61
2025-04,59
2025-05,61
