Categoría: Todas las categorías

Mes,criminal justice: (Nuevo México)
2015-01,59
2015-02,68
2015-03,65
2015-04,100
2015-05,71
2015-06,57
2015-07,51
2015-08,88
2015-09,90
2015-10,62
2015-11,86
2015-12,58
2016-01,78
2016-02,77
2016-03,70
2016-04,57
2016-05,70
2016-06,46
2016-07,52
2016-08,79
2016-09,71
2016-10,65
2016-11,43
2016-12,49
2017-01,51
2017-02,56
2017-03,64
2017-04,60
2017-05,51
2017-06,43
2017-07,36
2017-08,41
2017-09,41
2017-10,44
2017-11,49
2017-12,39
2018-01,53
2018-02,54
2018-03,55
2018-04,56
2018-05,51
2018-06,47
2018-07,46
2018-08,57
2018-09,65
2018-10,52
2018-11,53
2018-12,59
2019-01,32
2019-02,67
2019-03,53
2019-04,57
2019-05,58
2019-06,44
2019-07,42
2019-08,56
2019-09,57
2019-10,55
2019-11,59
2019-12,47
2020-01,52
2020-02,63
2020-03,46
2020-04,45
2020-05,42
2020-06,44
2020-07,40
2020-08,65
2020-09,68
2020-10,55
2020-11,49
2020-12,30
2021-01,55
2021-02,55
2021-03,37
2021-04,38
2021-05,44
2021-06,40
2021-07,33
2021-08,52
2021-09,47
2021-10,42
2021-11,38
2021-12,46
2022-01,55
2022-02,50
2022-03,63
2022-04,59
2022-05,46
2022-06,38
2022-07,42
2022-08,52
2022-09,63
2022-10,63
2022-11,49
2022-12,52
2023-01,57
2023-02,68
2023-03,60
2023-04,42
2023-05,44
2023-06,36
2023-07,29
2023-08,54
2023-09,41
2023-10,56
2023-11,51
2023-12,42
2024-01,66
2024-02,42
2024-03,50
2024-04,51
2024-05,47
2024-06,29
2024-07,34
2024-08,55
2024-09,49
2024-10,68
2024-11,45
2024-12,50
2025-01,47
2025-02,55
2025-03,48
2025-04,60
2025-05,65
