Categoría: Todas las categorías

Mes,criminal justice: (Ohio)
2015-01,97
2015-02,96
2015-03,87
2015-04,94
2015-05,85
2015-06,68
2015-07,69
2015-08,89
2015-09,100
2015-10,100
2015-11,89
2015-12,80
2016-01,89
2016-02,85
2016-03,77
2016-04,90
2016-05,75
2016-06,68
2016-07,74
2016-08,77
2016-09,85
2016-10,87
2016-11,76
2016-12,73
2017-01,84
2017-02,87
2017-03,82
2017-04,82
2017-05,75
2017-06,54
2017-07,54
2017-08,70
2017-09,79
2017-10,86
2017-11,92
2017-12,68
2018-01,80
2018-02,78
2018-03,75
2018-04,78
2018-05,70
2018-06,55
2018-07,57
2018-08,76
2018-09,82
2018-10,83
2018-11,78
2018-12,81
2019-01,78
2019-02,79
2019-03,72
2019-04,80
2019-05,61
2019-06,51
2019-07,56
2019-08,70
2019-09,74
2019-10,84
2019-11,72
2019-12,58
2020-01,79
2020-02,86
2020-03,61
2020-04,66
2020-05,68
2020-06,73
2020-07,52
2020-08,71
2020-09,82
2020-10,69
2020-11,61
2020-12,56
2021-01,66
2021-02,64
2021-03,60
2021-04,64
2021-05,56
2021-06,50
2021-07,39
2021-08,56
2021-09,69
2021-10,60
2021-11,55
2021-12,51
2022-01,66
2022-02,71
2022-03,72
2022-04,72
2022-05,64
2022-06,43
2022-07,52
2022-08,67
2022-09,75
2022-10,70
2022-11,69
2022-12,64
2023-01,77
2023-02,73
2023-03,67
2023-04,66
2023-05,63
2023-06,45
2023-07,42
2023-08,57
2023-09,72
2023-10,75
2023-11,65
2023-12,52
2024-01,67
2024-02,80
2024-03,64
2024-04,70
2024-05,52
2024-06,50
2024-07,48
2024-08,64
2024-09,72
2024-10,73
2024-11,68
2024-12,54
2025-01,72
2025-02,74
2025-03,64
2025-04,69
2025-05,71
