Categoría: Todas las categorías

Mes,criminal justice: (Oklahoma)
2015-01,82
2015-02,73
2015-03,65
2015-04,78
2015-05,69
2015-06,71
2015-07,74
2015-08,82
2015-09,100
2015-10,85
2015-11,71
2015-12,60
2016-01,88
2016-02,73
2016-03,81
2016-04,82
2016-05,58
2016-06,52
2016-07,67
2016-08,92
2016-09,73
2016-10,81
2016-11,83
2016-12,51
2017-01,78
2017-02,70
2017-03,77
2017-04,64
2017-05,89
2017-06,55
2017-07,56
2017-08,73
2017-09,74
2017-10,75
2017-11,65
2017-12,56
2018-01,82
2018-02,67
2018-03,69
2018-04,92
2018-05,62
2018-06,66
2018-07,62
2018-08,77
2018-09,83
2018-10,98
2018-11,73
2018-12,74
2019-01,91
2019-02,79
2019-03,73
2019-04,77
2019-05,74
2019-06,63
2019-07,67
2019-08,84
2019-09,79
2019-10,82
2019-11,66
2019-12,56
2020-01,76
2020-02,69
2020-03,60
2020-04,64
2020-05,68
2020-06,68
2020-07,56
2020-08,77
2020-09,78
2020-10,61
2020-11,58
2020-12,66
2021-01,57
2021-02,59
2021-03,52
2021-04,67
2021-05,59
2021-06,60
2021-07,58
2021-08,75
2021-09,64
2021-10,62
2021-11,59
2021-12,62
2022-01,58
2022-02,73
2022-03,80
2022-04,83
2022-05,66
2022-06,55
2022-07,46
2022-08,59
2022-09,71
2022-10,65
2022-11,69
2022-12,58
2023-01,64
2023-02,52
2023-03,65
2023-04,69
2023-05,53
2023-06,44
2023-07,42
2023-08,66
2023-09,66
2023-10,71
2023-11,76
2023-12,61
2024-01,65
2024-02,64
2024-03,72
2024-04,73
2024-05,51
2024-06,44
2024-07,43
2024-08,63
2024-09,77
2024-10,73
2024-11,62
2024-12,66
2025-01,72
2025-02,58
2025-03,73
2025-04,67
2025-05,63
