Category: All categories

Month,criminal justice: (Pennsylvania)
2015-01,80
2015-02,81
2015-03,76
2015-04,88
2015-05,66
2015-06,54
2015-07,65
2015-08,72
2015-09,83
2015-10,100
2015-11,82
2015-12,68
2016-01,82
2016-02,80
2016-03,70
2016-04,80
2016-05,68
2016-06,57
2016-07,62
2016-08,80
2016-09,85
2016-10,85
2016-11,71
2016-12,58
2017-01,75
2017-02,76
2017-03,71
2017-04,71
2017-05,66
2017-06,52
2017-07,51
2017-08,65
2017-09,76
2017-10,80
2017-11,72
2017-12,59
2018-01,66
2018-02,69
2018-03,63
2018-04,69
2018-05,64
2018-06,49
2018-07,51
2018-08,63
2018-09,74
2018-10,78
2018-11,69
2018-12,74
2019-01,71
2019-02,78
2019-03,65
2019-04,70
2019-05,67
2019-06,55
2019-07,52
2019-08,60
2019-09,72
2019-10,71
2019-11,64
2019-12,54
2020-01,67
2020-02,71
2020-03,52
2020-04,59
2020-05,57
2020-06,63
2020-07,51
2020-08,57
2020-09,79
2020-10,63
2020-11,49
2020-12,53
2021-01,57
2021-02,61
2021-03,59
2021-04,53
2021-05,50
2021-06,44
2021-07,43
2021-08,47
2021-09,63
2021-10,59
2021-11,58
2021-12,48
2022-01,63
2022-02,64
2022-03,60
2022-04,67
2022-05,57
2022-06,41
2022-07,41
2022-08,53
2022-09,72
2022-10,66
2022-11,57
2022-12,50
2023-01,62
2023-02,61
2023-03,56
2023-04,60
2023-05,49
2023-06,41
2023-07,36
2023-08,55
2023-09,63
2023-10,64
2023-11,56
2023-12,49
2024-01,63
2024-02,59
2024-03,55
2024-04,68
2024-05,53
2024-06,39
2024-07,40
2024-08,46
2024-09,68
2024-10,69
2024-11,54
2024-12,50
2025-01,64
2025-02,67
2025-03,65
2025-04,66
2025-05,64
