Category: All categories

Month,criminal justice: (Rhode Island)
2015-01,50
2015-02,86
2015-03,76
2015-04,70
2015-05,68
2015-06,52
2015-07,42
2015-08,0
2015-09,79
2015-10,78
2015-11,63
2015-12,42
2016-01,65
2016-02,53
2016-03,49
2016-04,78
2016-05,63
2016-06,68
2016-07,39
2016-08,66
2016-09,100
2016-10,89
2016-11,74
2016-12,65
2017-01,63
2017-02,55
2017-03,60
2017-04,61
2017-05,53
2017-06,43
2017-07,31
2017-08,51
2017-09,91
2017-10,87
2017-11,75
2017-12,49
2018-01,47
2018-02,55
2018-03,67
2018-04,71
2018-05,55
2018-06,47
2018-07,26
2018-08,55
2018-09,87
2018-10,81
2018-11,56
2018-12,48
2019-01,75
2019-02,80
2019-03,71
2019-04,61
2019-05,77
2019-06,34
2019-07,33
2019-08,43
2019-09,92
2019-10,74
2019-11,70
2019-12,33
2020-01,71
2020-02,71
2020-03,56
2020-04,51
2020-05,39
2020-06,68
2020-07,35
2020-08,49
2020-09,94
2020-10,56
2020-11,42
2020-12,36
2021-01,56
2021-02,61
2021-03,54
2021-04,35
2021-05,39
2021-06,32
2021-07,26
2021-08,40
2021-09,64
2021-10,51
2021-11,64
2021-12,51
2022-01,48
2022-02,62
2022-03,52
2022-04,55
2022-05,61
2022-06,31
2022-07,35
2022-08,36
2022-09,67
2022-10,65
2022-11,53
2022-12,52
2023-01,45
2023-02,58
2023-03,53
2023-04,53
2023-05,54
2023-06,39
2023-07,37
2023-08,32
2023-09,82
2023-10,83
2023-11,48
2023-12,51
2024-01,74
2024-02,50
2024-03,51
2024-04,71
2024-05,54
2024-06,39
2024-07,36
2024-08,35
2024-09,64
2024-10,65
2024-11,60
2024-12,44
2025-01,64
2025-02,72
2025-03,61
2025-04,53
2025-05,55
