Category: All categories

Month,criminal justice: (South Dakota)
2015-01,0
2015-02,0
2015-03,60
2015-04,0
2015-05,58
2015-06,0
2015-07,0
2015-08,0
2015-09,74
2015-10,70
2015-11,100
2015-12,0
2016-01,64
2016-02,68
2016-03,0
2016-04,57
2016-05,46
2016-06,0
2016-07,0
2016-08,0
2016-09,68
2016-10,63
2016-11,0
2016-12,0
2017-01,66
2017-02,57
2017-03,51
2017-04,49
2017-05,48
2017-06,0
2017-07,38
2017-08,40
2017-09,46
2017-10,0
2017-11,60
2017-12,49
2018-01,62
2018-02,45
2018-03,73
2018-04,57
2018-05,0
2018-06,35
2018-07,42
2018-08,0
2018-09,38
2018-10,43
2018-11,46
2018-12,72
2019-01,61
2019-02,47
2019-03,60
2019-04,51
2019-05,68
2019-06,34
2019-07,44
2019-08,0
2019-09,49
2019-10,45
2019-11,37
2019-12,37
2020-01,50
2020-02,43
2020-03,37
2020-04,47
2020-05,36
2020-06,37
2020-07,0
2020-08,63
2020-09,41
2020-10,54
2020-11,0
2020-12,36
2021-01,78
2021-02,0
2021-03,40
2021-04,48
2021-05,59
2021-06,36
2021-07,0
2021-08,37
2021-09,59
2021-10,43
2021-11,45
2021-12,0
2022-01,0
2022-02,59
2022-03,53
2022-04,47
2022-05,49
2022-06,0
2022-07,0
2022-08,41
2022-09,49
2022-10,45
2022-11,38
2022-12,41
2023-01,58
2023-02,51
2023-03,59
2023-04,43
2023-05,30
2023-06,59
2023-07,26
2023-08,31
2023-09,45
2023-10,63
2023-11,65
2023-12,53
2024-01,66
2024-02,47
2024-03,0
2024-04,43
2024-05,37
2024-06,0
2024-07,33
2024-08,64
2024-09,65
2024-10,57
2024-11,42
2024-12,38
2025-01,58
2025-02,44
2025-03,40
2025-04,0
2025-05,45
