Categoría: Todas las categorías

Área de mercado designada,criminal justice: (1/1/15 - 10/5/25)
Abilene-Sweetwater TX,100
Tyler-Longview(Lufkin & Nacogdoches) TX,99
Laredo TX,97
Beaumont-Port Arthur TX,87
Waco-Temple-Bryan TX,82
San Angelo TX,82
Amarillo TX,81
Harlingen-Weslaco-Brownsville-McAllen TX,80
El Paso TX,76
Victoria TX,73
Corpus Christi TX,67
Shreveport LA,64
Wichita Falls TX & Lawton OK,62
Lubbock TX,61
San Antonio TX,60
Houston TX,60
Odessa-Midland TX,58
Austin TX,53
Dallas-Ft. Worth TX,51
Sherman TX-Ada OK,47
