Category: All categories

Month,criminal justice: (Washington)
2015-01,85
2015-02,97
2015-03,85
2015-04,90
2015-05,91
2015-06,69
2015-07,75
2015-08,71
2015-09,85
2015-10,100
2015-11,88
2015-12,58
2016-01,94
2016-02,84
2016-03,82
2016-04,88
2016-05,81
2016-06,70
2016-07,70
2016-08,75
2016-09,82
2016-10,83
2016-11,81
2016-12,72
2017-01,96
2017-02,86
2017-03,74
2017-04,83
2017-05,80
2017-06,70
2017-07,55
2017-08,71
2017-09,76
2017-10,91
2017-11,66
2017-12,62
2018-01,83
2018-02,80
2018-03,78
2018-04,69
2018-05,74
2018-06,60
2018-07,63
2018-08,60
2018-09,85
2018-10,84
2018-11,83
2018-12,71
2019-01,86
2019-02,82
2019-03,70
2019-04,79
2019-05,77
2019-06,76
2019-07,70
2019-08,73
2019-09,85
2019-10,92
2019-11,84
2019-12,64
2020-01,89
2020-02,86
2020-03,71
2020-04,73
2020-05,72
2020-06,96
2020-07,61
2020-08,61
2020-09,82
2020-10,88
2020-11,61
2020-12,74
2021-01,81
2021-02,69
2021-03,75
2021-04,57
2021-05,54
2021-06,59
2021-07,39
2021-08,46
2021-09,68
2021-10,68
2021-11,66
2021-12,49
2022-01,75
2022-02,80
2022-03,78
2022-04,72
2022-05,69
2022-06,54
2022-07,38
2022-08,57
2022-09,84
2022-10,90
2022-11,63
2022-12,75
2023-01,84
2023-02,76
2023-03,76
2023-04,66
2023-05,60
2023-06,52
2023-07,41
2023-08,44
2023-09,61
2023-10,74
2023-11,69
2023-12,56
2024-01,76
2024-02,87
2024-03,64
2024-04,70
2024-05,66
2024-06,50
2024-07,48
2024-08,50
2024-09,64
2024-10,76
2024-11,63
2024-12,57
2025-01,74
2025-02,75
2025-03,61
2025-04,81
2025-05,66
