Category: All categories

Month,criminal justice: (Wisconsin)
2015-01,86
2015-02,78
2015-03,81
2015-04,90
2015-05,90
2015-06,69
2015-07,61
2015-08,73
2015-09,99
2015-10,99
2015-11,84
2015-12,76
2016-01,84
2016-02,89
2016-03,86
2016-04,84
2016-05,86
2016-06,49
2016-07,64
2016-08,58
2016-09,82
2016-10,100
2016-11,78
2016-12,79
2017-01,89
2017-02,78
2017-03,89
2017-04,88
2017-05,71
2017-06,53
2017-07,46
2017-08,56
2017-09,75
2017-10,88
2017-11,85
2017-12,63
2018-01,67
2018-02,78
2018-03,69
2018-04,72
2018-05,78
2018-06,53
2018-07,50
2018-08,56
2018-09,82
2018-10,70
2018-11,79
2018-12,95
2019-01,67
2019-02,79
2019-03,76
2019-04,73
2019-05,74
2019-06,56
2019-07,47
2019-08,57
2019-09,87
2019-10,87
2019-11,73
2019-12,74
2020-01,76
2020-02,86
2020-03,62
2020-04,63
2020-05,66
2020-06,63
2020-07,49
2020-08,66
2020-09,89
2020-10,86
2020-11,60
2020-12,70
2021-01,59
2021-02,68
2021-03,63
2021-04,66
2021-05,59
2021-06,54
2021-07,37
2021-08,57
2021-09,87
2021-10,74
2021-11,67
2021-12,52
2022-01,58
2022-02,87
2022-03,75
2022-04,79
2022-05,72
2022-06,45
2022-07,41
2022-08,49
2022-09,81
2022-10,96
2022-11,72
2022-12,68
2023-01,78
2023-02,80
2023-03,70
2023-04,71
2023-05,63
2023-06,39
2023-07,48
2023-08,51
2023-09,86
2023-10,81
2023-11,63
2023-12,63
2024-01,63
2024-02,80
2024-03,62
2024-04,67
2024-05,71
2024-06,51
2024-07,40
2024-08,51
2024-09,86
2024-10,84
2024-11,71
2024-12,69
2025-01,79
2025-02,88
2025-03,78
2025-04,69
2025-05,71
