Categoría: Todas las categorías

Mes,criminal justice: (Virginia Occidental)
2015-01,84
2015-02,100
2015-03,87
2015-04,94
2015-05,82
2015-06,54
2015-07,47
2015-08,64
2015-09,79
2015-10,76
2015-11,90
2015-12,46
2016-01,72
2016-02,76
2016-03,75
2016-04,93
2016-05,69
2016-06,60
2016-07,47
2016-08,73
2016-09,80
2016-10,85
2016-11,64
2016-12,55
2017-01,62
2017-02,79
2017-03,81
2017-04,60
2017-05,77
2017-06,43
2017-07,33
2017-08,46
2017-09,78
2017-10,72
2017-11,84
2017-12,58
2018-01,82
2018-02,58
2018-03,66
2018-04,82
2018-05,50
2018-06,41
2018-07,31
2018-08,67
2018-09,76
2018-10,81
2018-11,62
2018-12,52
2019-01,68
2019-02,66
2019-03,83
2019-04,70
2019-05,47
2019-06,20
2019-07,50
2019-08,48
2019-09,78
2019-10,65
2019-11,49
2019-12,47
2020-01,50
2020-02,67
2020-03,63
2020-04,46
2020-05,34
2020-06,38
2020-07,46
2020-08,45
2020-09,59
2020-10,64
2020-11,42
2020-12,40
2021-01,53
2021-02,50
2021-03,51
2021-04,58
2021-05,46
2021-06,33
2021-07,37
2021-08,50
2021-09,62
2021-10,62
2021-11,65
2021-12,50
2022-01,59
2022-02,60
2022-03,57
2022-04,69
2022-05,45
2022-06,37
2022-07,37
2022-08,52
2022-09,69
2022-10,54
2022-11,43
2022-12,41
2023-01,57
2023-02,55
2023-03,59
2023-04,51
2023-05,50
2023-06,32
2023-07,25
2023-08,69
2023-09,51
2023-10,63
2023-11,55
2023-12,40
2024-01,54
2024-02,69
2024-03,54
2024-04,52
2024-05,43
2024-06,43
2024-07,42
2024-08,59
2024-09,62
2024-10,56
2024-11,66
2024-12,48
2025-01,54
2025-02,73
2025-03,63
2025-04,54
2025-05,60
