Category: All categories

Month,criminal justice: (Wyoming)
2015-01,0
2015-02,0
2015-03,0
2015-04,64
2015-05,0
2015-06,0
2015-07,0
2015-08,68
2015-09,61
2015-10,0
2015-11,100
2015-12,61
2016-01,43
2016-02,54
2016-03,67
2016-04,64
2016-05,46
2016-06,0
2016-07,0
2016-08,0
2016-09,51
2016-10,56
2016-11,64
2016-12,66
2017-01,49
2017-02,0
2017-03,55
2017-04,40
2017-05,81
2017-06,0
2017-07,0
2017-08,0
2017-09,43
2017-10,40
2017-11,38
2017-12,0
2018-01,0
2018-02,0
2018-03,41
2018-04,54
2018-05,47
2018-06,0
2018-07,0
2018-08,0
2018-09,38
2018-10,41
2018-11,42
2018-12,0
2019-01,0
2019-02,75
2019-03,40
2019-04,57
2019-05,56
2019-06,55
2019-07,0
2019-08,0
2019-09,61
2019-10,74
2019-11,0
2019-12,0
2020-01,41
2020-02,0
2020-03,40
2020-04,32
2020-05,0
2020-06,50
2020-07,0
2020-08,47
2020-09,43
2020-10,49
2020-11,35
2020-12,0
2021-01,41
2021-02,51
2021-03,43
2021-04,55
2021-05,36
2021-06,0
2021-07,37
2021-08,47
2021-09,84
2021-10,0
2021-11,48
2021-12,0
2022-01,0
2022-02,0
2022-03,33
2022-04,46
2022-05,39
2022-06,0
2022-07,0
2022-08,34
2022-09,55
2022-10,43
2022-11,63
2022-12,0
2023-01,47
2023-02,40
2023-03,33
2023-04,35
2023-05,43
2023-06,0
2023-07,0
2023-08,0
2023-09,41
2023-10,0
2023-11,0
2023-12,0
2024-01,38
2024-02,49
2024-03,48
2024-04,50
2024-05,48
2024-06,0
2024-07,34
2024-08,38
2024-09,37
2024-10,0
2024-11,59
2024-12,0
2025-01,63
2025-02,0
2025-03,37
2025-04,59
2025-05,33
