Categoría: Todas las categorías

Mes,criminal justice: (California)
2015-01,85
2015-02,84
2015-03,83
2015-04,83
2015-05,86
2015-06,71
2015-07,61
2015-08,74
2015-09,89
2015-10,90
2015-11,81
2015-12,66
2016-01,82
2016-02,87
2016-03,78
2016-04,83
2016-05,80
2016-06,63
2016-07,66
2016-08,90
2016-09,89
2016-10,87
2016-11,80
2016-12,64
2017-01,76
2017-02,81
2017-03,78
2017-04,84
2017-05,88
2017-06,68
2017-07,61
2017-08,74
2017-09,90
2017-10,100
2017-11,83
2017-12,63
2018-01,76
2018-02,79
2018-03,78
2018-04,81
2018-05,80
2018-06,63
2018-07,62
2018-08,77
2018-09,83
2018-10,93
2018-11,81
2018-12,82
2019-01,84
2019-02,87
2019-03,84
2019-04,93
2019-05,90
2019-06,73
2019-07,67
2019-08,82
2019-09,98
2019-10,93
2019-11,85
2019-12,69
2020-01,78
2020-02,89
2020-03,70
2020-04,78
2020-05,81
2020-06,82
2020-07,67
2020-08,86
2020-09,99
2020-10,85
2020-11,66
2020-12,75
2021-01,72
2021-02,73
2021-03,67
2021-04,69
2021-05,65
2021-06,52
2021-07,49
2021-08,63
2021-09,75
2021-10,71
2021-11,68
2021-12,66
2022-01,67
2022-02,81
2022-03,84
2022-04,91
2022-05,90
2022-06,58
2022-07,58
2022-08,83
2022-09,98
2022-10,91
2022-11,75
2022-12,69
2023-01,71
2023-02,74
2023-03,75
2023-04,79
2023-05,79
2023-06,60
2023-07,50
2023-08,73
2023-09,82
2023-10,82
2023-11,77
2023-12,64
2024-01,70
2024-02,76
2024-03,79
2024-04,84
2024-05,85
2024-06,57
2024-07,54
2024-08,75
2024-09,83
2024-10,88
2024-11,77
2024-12,68
2025-01,73
2025-02,80
2025-03,77
2025-04,75
2025-05,79
