Categoría: Todas las categorías

Mes,criminal justice: (Nueva York)
2015-01,69
2015-02,76
2015-03,73
2015-04,71
2015-05,65
2015-06,51
2015-07,51
2015-08,56
2015-09,79
2015-10,76
2015-11,69
2015-12,60
2016-01,66
2016-02,86
2016-03,80
2016-04,78
2016-05,75
2016-06,56
2016-07,62
2016-08,75
2016-09,93
2016-10,95
2016-11,86
2016-12,79
2017-01,100
2017-02,98
2017-03,96
2017-04,97
2017-05,90
2017-06,81
2017-07,78
2017-08,53
2017-09,90
2017-10,89
2017-11,89
2017-12,87
2018-01,87
2018-02,90
2018-03,81
2018-04,86
2018-05,94
2018-06,71
2018-07,75
2018-08,67
2018-09,91
2018-10,87
2018-11,87
2018-12,91
2019-01,84
2019-02,89
2019-03,89
2019-04,87
2019-05,79
2019-06,74
2019-07,65
2019-08,75
2019-09,90
2019-10,90
2019-11,83
2019-12,75
2020-01,80
2020-02,79
2020-03,66
2020-04,68
2020-05,69
2020-06,72
2020-07,61
2020-08,68
2020-09,85
2020-10,87
2020-11,68
2020-12,69
2021-01,64
2021-02,71
2021-03,66
2021-04,70
2021-05,71
2021-06,60
2021-07,55
2021-08,58
2021-09,75
2021-10,69
2021-11,70
2021-12,74
2022-01,63
2022-02,70
2022-03,72
2022-04,66
2022-05,66
2022-06,48
2022-07,47
2022-08,53
2022-09,70
2022-10,66
2022-11,58
2022-12,56
2023-01,61
2023-02,62
2023-03,58
2023-04,56
2023-05,53
2023-06,43
2023-07,41
2023-08,53
2023-09,62
2023-10,57
2023-11,55
2023-12,52
2024-01,57
2024-02,63
2024-03,63
2024-04,62
2024-05,54
2024-06,47
2024-07,47
2024-08,56
2024-09,69
2024-10,74
2024-11,65
2024-12,61
2025-01,64
2025-02,67
2025-03,68
2025-04,66
2025-05,67
