Categoría: Todas las categorías

Mes,criminal justice: (Oregón)
2015-01,41
2015-02,53
2015-03,35
2015-04,44
2015-05,51
2015-06,63
2015-07,57
2015-08,74
2015-09,91
2015-10,84
2015-11,81
2015-12,64
2016-01,77
2016-02,82
2016-03,75
2016-04,66
2016-05,71
2016-06,73
2016-07,66
2016-08,65
2016-09,94
2016-10,100
2016-11,77
2016-12,65
2017-01,83
2017-02,73
2017-03,68
2017-04,71
2017-05,73
2017-06,52
2017-07,51
2017-08,67
2017-09,61
2017-10,78
2017-11,73
2017-12,48
2018-01,70
2018-02,73
2018-03,67
2018-04,70
2018-05,55
2018-06,54
2018-07,36
2018-08,52
2018-09,73
2018-10,93
2018-11,83
2018-12,100
2019-01,71
2019-02,87
2019-03,73
2019-04,78
2019-05,81
2019-06,63
2019-07,64
2019-08,61
2019-09,71
2019-10,77
2019-11,90
2019-12,50
2020-01,78
2020-02,95
2020-03,67
2020-04,65
2020-05,80
2020-06,81
2020-07,51
2020-08,65
2020-09,61
2020-10,79
2020-11,59
2020-12,60
2021-01,62
2021-02,65
2021-03,68
2021-04,49
2021-05,54
2021-06,49
2021-07,50
2021-08,51
2021-09,51
2021-10,54
2021-11,70
2021-12,46
2022-01,66
2022-02,58
2022-03,67
2022-04,71
2022-05,71
2022-06,52
2022-07,46
2022-08,48
2022-09,68
2022-10,79
2022-11,77
2022-12,66
2023-01,76
2023-02,64
2023-03,68
2023-04,63
2023-05,67
2023-06,54
2023-07,49
2023-08,60
2023-09,59
2023-10,59
2023-11,59
2023-12,60
2024-01,64
2024-02,78
2024-03,73
2024-04,79
2024-05,58
2024-06,70
2024-07,53
2024-08,46
2024-09,70
2024-10,72
2024-11,70
2024-12,65
2025-01,72
2025-02,82
2025-03,72
2025-04,66
2025-05,63
