Categoría: Todas las categorías

Mes,guns: (Alaska)
2015-01,94
2015-02,84
2015-03,95
2015-04,77
2015-05,76
2015-06,77
2015-07,72
2015-08,74
2015-09,73
2015-10,89
2015-11,86
2015-12,100
2016-01,86
2016-02,86
2016-03,77
2016-04,83
2016-05,70
2016-06,84
2016-07,79
2016-08,81
2016-09,73
2016-10,78
2016-11,85
2016-12,77
2017-01,73
2017-02,79
2017-03,68
2017-04,70
2017-05,64
2017-06,75
2017-07,77
2017-08,63
2017-09,66
2017-10,81
2017-11,79
2017-12,81
2018-01,71
2018-02,98
2018-03,99
2018-04,80
2018-05,71
2018-06,59
2018-07,69
2018-08,64
2018-09,57
2018-10,67
2018-11,72
2018-12,80
2019-01,71
2019-02,67
2019-03,71
2019-04,67
2019-05,66
2019-06,57
2019-07,52
2019-08,64
2019-09,76
2019-10,67
2019-11,74
2019-12,72
2020-01,73
2020-02,68
2020-03,83
2020-04,82
2020-05,76
2020-06,89
2020-07,77
2020-08,87
2020-09,76
2020-10,75
2020-11,79
2020-12,82
2021-01,82
2021-02,79
2021-03,87
2021-04,83
2021-05,70
2021-06,68
2021-07,63
2021-08,69
2021-09,62
2021-10,68
2021-11,64
2021-12,63
2022-01,67
2022-02,58
2022-03,67
2022-04,64
2022-05,65
2022-06,71
2022-07,59
2022-08,63
2022-09,67
2022-10,65
2022-11,62
2022-12,64
2023-01,61
2023-02,69
2023-03,57
2023-04,65
2023-05,52
2023-06,49
2023-07,54
2023-08,61
2023-09,58
2023-10,59
2023-11,61
2023-12,64
2024-01,55
2024-02,55
2024-03,59
2024-04,59
2024-05,57
2024-06,51
2024-07,48
2024-08,51
2024-09,60
2024-10,55
2024-11,61
2024-12,63
2025-01,55
2025-02,60
2025-03,56
2025-04,53
2025-05,53
