Categoría: Todas las categorías

Mes,guns: (Alabama)
2015-01,70
2015-02,65
2015-03,61
2015-04,56
2015-05,57
2015-06,61
2015-07,64
2015-08,55
2015-09,55
2015-10,65
2015-11,77
2015-12,100
2016-01,90
2016-02,71
2016-03,60
2016-04,69
2016-05,58
2016-06,72
2016-07,84
2016-08,54
2016-09,53
2016-10,53
2016-11,67
2016-12,74
2017-01,65
2017-02,62
2017-03,56
2017-04,50
2017-05,49
2017-06,53
2017-07,56
2017-08,49
2017-09,45
2017-10,63
2017-11,73
2017-12,72
2018-01,59
2018-02,77
2018-03,71
2018-04,54
2018-05,52
2018-06,48
2018-07,51
2018-08,49
2018-09,43
2018-10,44
2018-11,60
2018-12,62
2019-01,54
2019-02,55
2019-03,51
2019-04,43
2019-05,48
2019-06,50
2019-07,47
2019-08,52
2019-09,50
2019-10,48
2019-11,59
2019-12,63
2020-01,57
2020-02,54
2020-03,58
2020-04,62
2020-05,61
2020-06,77
2020-07,71
2020-08,59
2020-09,54
2020-10,54
2020-11,67
2020-12,70
2021-01,67
2021-02,57
2021-03,55
2021-04,55
2021-05,44
2021-06,50
2021-07,49
2021-08,46
2021-09,43
2021-10,48
2021-11,52
2021-12,58
2022-01,51
2022-02,54
2022-03,51
2022-04,51
2022-05,52
2022-06,55
2022-07,52
2022-08,47
2022-09,43
2022-10,44
2022-11,51
2022-12,57
2023-01,49
2023-02,56
2023-03,49
2023-04,47
2023-05,42
2023-06,45
2023-07,46
2023-08,42
2023-09,44
2023-10,44
2023-11,52
2023-12,55
2024-01,46
2024-02,42
2024-03,44
2024-04,40
2024-05,40
2024-06,42
2024-07,45
2024-08,41
2024-09,41
2024-10,43
2024-11,48
2024-12,52
2025-01,48
2025-02,45
2025-03,39
2025-04,40
2025-05,39
