Categoría: Todas las categorías

Mes,guns: (California)
2015-01,66
2015-02,61
2015-03,60
2015-04,61
2015-05,56
2015-06,59
2015-07,62
2015-08,60
2015-09,53
2015-10,66
2015-11,72
2015-12,98
2016-01,89
2016-02,66
2016-03,67
2016-04,100
2016-05,67
2016-06,84
2016-07,81
2016-08,97
2016-09,61
2016-10,64
2016-11,68
2016-12,74
2017-01,63
2017-02,59
2017-03,56
2017-04,57
2017-05,56
2017-06,58
2017-07,60
2017-08,55
2017-09,54
2017-10,73
2017-11,80
2017-12,62
2018-01,56
2018-02,83
2018-03,81
2018-04,58
2018-05,55
2018-06,50
2018-07,49
2018-08,49
2018-09,43
2018-10,47
2018-11,55
2018-12,56
2019-01,50
2019-02,48
2019-03,52
2019-04,47
2019-05,48
2019-06,46
2019-07,42
2019-08,53
2019-09,48
2019-10,44
2019-11,47
2019-12,50
2020-01,45
2020-02,51
2020-03,72
2020-04,64
2020-05,63
2020-06,77
2020-07,68
2020-08,62
2020-09,53
2020-10,55
2020-11,59
2020-12,60
2021-01,59
2021-02,55
2021-03,54
2021-04,57
2021-05,49
2021-06,53
2021-07,50
2021-08,54
2021-09,46
2021-10,45
2021-11,47
2021-12,49
2022-01,45
2022-02,47
2022-03,45
2022-04,45
2022-05,58
2022-06,55
2022-07,53
2022-08,46
2022-09,40
2022-10,42
2022-11,43
2022-12,46
2023-01,43
2023-02,49
2023-03,47
2023-04,44
2023-05,43
2023-06,43
2023-07,42
2023-08,42
2023-09,41
2023-10,50
2023-11,46
2023-12,45
2024-01,42
2024-02,42
2024-03,41
2024-04,38
2024-05,42
2024-06,42
2024-07,41
2024-08,38
2024-09,38
2024-10,39
2024-11,43
2024-12,43
2025-01,41
2025-02,41
2025-03,39
2025-04,38
2025-05,38
