Categoría: Todas las categorías

Mes,guns: (Colorado)
2015-01,68
2015-02,72
2015-03,67
2015-04,67
2015-05,66
2015-06,68
2015-07,69
2015-08,67
2015-09,59
2015-10,78
2015-11,78
2015-12,100
2016-01,87
2016-02,70
2016-03,66
2016-04,73
2016-05,66
2016-06,79
2016-07,74
2016-08,63
2016-09,58
2016-10,62
2016-11,70
2016-12,78
2017-01,65
2017-02,71
2017-03,58
2017-04,59
2017-05,59
2017-06,63
2017-07,72
2017-08,78
2017-09,63
2017-10,69
2017-11,72
2017-12,64
2018-01,57
2018-02,90
2018-03,84
2018-04,63
2018-05,61
2018-06,52
2018-07,54
2018-08,55
2018-09,48
2018-10,48
2018-11,64
2018-12,64
2019-01,56
2019-02,56
2019-03,63
2019-04,53
2019-05,52
2019-06,50
2019-07,47
2019-08,58
2019-09,55
2019-10,50
2019-11,61
2019-12,58
2020-01,56
2020-02,64
2020-03,81
2020-04,67
2020-05,63
2020-06,76
2020-07,74
2020-08,63
2020-09,54
2020-10,60
2020-11,70
2020-12,67
2021-01,69
2021-02,60
2021-03,72
2021-04,68
2021-05,52
2021-06,55
2021-07,57
2021-08,65
2021-09,49
2021-10,51
2021-11,54
2021-12,58
2022-01,51
2022-02,51
2022-03,50
2022-04,49
2022-05,59
2022-06,57
2022-07,54
2022-08,51
2022-09,45
2022-10,49
2022-11,55
2022-12,53
2023-01,48
2023-02,54
2023-03,54
2023-04,54
2023-05,48
2023-06,46
2023-07,44
2023-08,44
2023-09,47
2023-10,56
2023-11,49
2023-12,53
2024-01,46
2024-02,47
2024-03,49
2024-04,46
2024-05,46
2024-06,45
2024-07,45
2024-08,43
2024-09,45
2024-10,45
2024-11,49
2024-12,50
2025-01,48
2025-02,50
2025-03,48
2025-04,45
2025-05,42
