Categoría: Todas las categorías

Mes,guns: (Florida)
2015-01,63
2015-02,61
2015-03,59
2015-04,56
2015-05,58
2015-06,61
2015-07,67
2015-08,61
2015-09,58
2015-10,68
2015-11,75
2015-12,90
2016-01,83
2016-02,66
2016-03,63
2016-04,80
2016-05,60
2016-06,93
2016-07,99
2016-08,64
2016-09,57
2016-10,63
2016-11,68
2016-12,72
2017-01,63
2017-02,63
2017-03,54
2017-04,56
2017-05,55
2017-06,60
2017-07,62
2017-08,66
2017-09,48
2017-10,69
2017-11,73
2017-12,65
2018-01,57
2018-02,100
2018-03,83
2018-04,58
2018-05,55
2018-06,52
2018-07,55
2018-08,55
2018-09,48
2018-10,50
2018-11,60
2018-12,61
2019-01,51
2019-02,50
2019-03,52
2019-04,47
2019-05,47
2019-06,52
2019-07,47
2019-08,56
2019-09,51
2019-10,50
2019-11,52
2019-12,58
2020-01,56
2020-02,55
2020-03,64
2020-04,66
2020-05,61
2020-06,88
2020-07,75
2020-08,67
2020-09,60
2020-10,58
2020-11,65
2020-12,62
2021-01,65
2021-02,53
2021-03,57
2021-04,56
2021-05,48
2021-06,55
2021-07,51
2021-08,50
2021-09,48
2021-10,49
2021-11,49
2021-12,53
2022-01,49
2022-02,51
2022-03,51
2022-04,48
2022-05,59
2022-06,66
2022-07,56
2022-08,47
2022-09,43
2022-10,46
2022-11,48
2022-12,51
2023-01,47
2023-02,56
2023-03,50
2023-04,56
2023-05,46
2023-06,46
2023-07,49
2023-08,47
2023-09,43
2023-10,48
2023-11,49
2023-12,49
2024-01,46
2024-02,43
2024-03,44
2024-04,43
2024-05,41
2024-06,43
2024-07,44
2024-08,41
2024-09,43
2024-10,40
2024-11,48
2024-12,49
2025-01,44
2025-02,45
2025-03,43
2025-04,42
2025-05,42
