Categoría: Todas las categorías

Mes,guns: (Georgia)
2015-01,64
2015-02,60
2015-03,55
2015-04,53
2015-05,53
2015-06,56
2015-07,56
2015-08,55
2015-09,50
2015-10,60
2015-11,70
2015-12,100
2016-01,75
2016-02,66
2016-03,62
2016-04,77
2016-05,51
2016-06,75
2016-07,94
2016-08,54
2016-09,53
2016-10,52
2016-11,68
2016-12,69
2017-01,54
2017-02,52
2017-03,50
2017-04,48
2017-05,42
2017-06,49
2017-07,49
2017-08,44
2017-09,43
2017-10,62
2017-11,63
2017-12,63
2018-01,51
2018-02,76
2018-03,72
2018-04,51
2018-05,46
2018-06,40
2018-07,40
2018-08,43
2018-09,39
2018-10,38
2018-11,53
2018-12,54
2019-01,43
2019-02,45
2019-03,48
2019-04,40
2019-05,40
2019-06,43
2019-07,41
2019-08,46
2019-09,42
2019-10,39
2019-11,45
2019-12,56
2020-01,51
2020-02,52
2020-03,62
2020-04,61
2020-05,62
2020-06,79
2020-07,73
2020-08,59
2020-09,55
2020-10,55
2020-11,68
2020-12,65
2021-01,71
2021-02,57
2021-03,56
2021-04,47
2021-05,41
2021-06,40
2021-07,45
2021-08,42
2021-09,41
2021-10,41
2021-11,44
2021-12,53
2022-01,42
2022-02,45
2022-03,48
2022-04,46
2022-05,53
2022-06,54
2022-07,48
2022-08,41
2022-09,37
2022-10,37
2022-11,44
2022-12,45
2023-01,42
2023-02,45
2023-03,45
2023-04,41
2023-05,38
2023-06,38
2023-07,38
2023-08,36
2023-09,38
2023-10,35
2023-11,40
2023-12,41
2024-01,39
2024-02,36
2024-03,37
2024-04,32
2024-05,35
2024-06,39
2024-07,36
2024-08,37
2024-09,36
2024-10,35
2024-11,38
2024-12,40
2025-01,39
2025-02,40
2025-03,37
2025-04,36
2025-05,35
