Categoría: Todas las categorías

Mes,guns: (Hawái)
2015-01,46
2015-02,50
2015-03,51
2015-04,42
2015-05,45
2015-06,49
2015-07,50
2015-08,45
2015-09,46
2015-10,52
2015-11,58
2015-12,59
2016-01,56
2016-02,46
2016-03,48
2016-04,57
2016-05,47
2016-06,62
2016-07,49
2016-08,42
2016-09,38
2016-10,46
2016-11,47
2016-12,45
2017-01,38
2017-02,42
2017-03,43
2017-04,40
2017-05,36
2017-06,44
2017-07,43
2017-08,39
2017-09,37
2017-10,53
2017-11,51
2017-12,47
2018-01,38
2018-02,61
2018-03,57
2018-04,45
2018-05,43
2018-06,40
2018-07,41
2018-08,40
2018-09,38
2018-10,70
2018-11,64
2018-12,100
2019-01,38
2019-02,40
2019-03,42
2019-04,38
2019-05,37
2019-06,37
2019-07,36
2019-08,38
2019-09,35
2019-10,37
2019-11,41
2019-12,41
2020-01,40
2020-02,42
2020-03,58
2020-04,56
2020-05,52
2020-06,56
2020-07,53
2020-08,52
2020-09,44
2020-10,44
2020-11,46
2020-12,48
2021-01,47
2021-02,43
2021-03,44
2021-04,43
2021-05,40
2021-06,39
2021-07,35
2021-08,37
2021-09,39
2021-10,42
2021-11,38
2021-12,41
2022-01,40
2022-02,35
2022-03,34
2022-04,37
2022-05,44
2022-06,47
2022-07,42
2022-08,36
2022-09,36
2022-10,36
2022-11,37
2022-12,32
2023-01,34
2023-02,39
2023-03,34
2023-04,41
2023-05,37
2023-06,37
2023-07,34
2023-08,32
2023-09,33
2023-10,40
2023-11,34
2023-12,39
2024-01,37
2024-02,33
2024-03,36
2024-04,36
2024-05,35
2024-06,34
2024-07,33
2024-08,30
2024-09,32
2024-10,31
2024-11,36
2024-12,35
2025-01,34
2025-02,34
2025-03,33
2025-04,33
2025-05,30
