Categoría: Todas las categorías

Mes,guns: (Illinois)
2015-01,67
2015-02,63
2015-03,54
2015-04,53
2015-05,52
2015-06,55
2015-07,63
2015-08,59
2015-09,58
2015-10,70
2015-11,80
2015-12,100
2016-01,90
2016-02,75
2016-03,73
2016-04,91
2016-05,71
2016-06,85
2016-07,91
2016-08,63
2016-09,58
2016-10,61
2016-11,73
2016-12,74
2017-01,70
2017-02,68
2017-03,63
2017-04,56
2017-05,56
2017-06,56
2017-07,66
2017-08,56
2017-09,51
2017-10,75
2017-11,79
2017-12,68
2018-01,58
2018-02,95
2018-03,90
2018-04,64
2018-05,56
2018-06,53
2018-07,52
2018-08,51
2018-09,44
2018-10,49
2018-11,66
2018-12,62
2019-01,55
2019-02,58
2019-03,58
2019-04,49
2019-05,47
2019-06,46
2019-07,41
2019-08,55
2019-09,52
2019-10,50
2019-11,56
2019-12,58
2020-01,58
2020-02,65
2020-03,78
2020-04,65
2020-05,63
2020-06,90
2020-07,71
2020-08,66
2020-09,59
2020-10,62
2020-11,68
2020-12,68
2021-01,72
2021-02,64
2021-03,62
2021-04,62
2021-05,51
2021-06,52
2021-07,52
2021-08,51
2021-09,64
2021-10,49
2021-11,60
2021-12,58
2022-01,46
2022-02,54
2022-03,53
2022-04,55
2022-05,56
2022-06,59
2022-07,58
2022-08,48
2022-09,46
2022-10,46
2022-11,49
2022-12,52
2023-01,58
2023-02,63
2023-03,57
2023-04,53
2023-05,47
2023-06,41
2023-07,43
2023-08,58
2023-09,46
2023-10,45
2023-11,49
2023-12,52
2024-01,44
2024-02,44
2024-03,41
2024-04,38
2024-05,36
2024-06,35
2024-07,35
2024-08,37
2024-09,36
2024-10,35
2024-11,44
2024-12,42
2025-01,40
2025-02,40
2025-03,38
2025-04,38
2025-05,38
