Categoría: Todas las categorías

Mes,guns: (Maine)
2015-01,63
2015-02,62
2015-03,69
2015-04,65
2015-05,60
2015-06,65
2015-07,59
2015-08,61
2015-09,60
2015-10,83
2015-11,78
2015-12,93
2016-01,81
2016-02,64
2016-03,69
2016-04,75
2016-05,58
2016-06,77
2016-07,72
2016-08,54
2016-09,61
2016-10,74
2016-11,72
2016-12,64
2017-01,60
2017-02,62
2017-03,58
2017-04,53
2017-05,47
2017-06,53
2017-07,48
2017-08,50
2017-09,50
2017-10,71
2017-11,64
2017-12,57
2018-01,52
2018-02,100
2018-03,94
2018-04,60
2018-05,58
2018-06,48
2018-07,48
2018-08,45
2018-09,48
2018-10,51
2018-11,66
2018-12,61
2019-01,56
2019-02,54
2019-03,57
2019-04,49
2019-05,43
2019-06,46
2019-07,40
2019-08,52
2019-09,55
2019-10,51
2019-11,57
2019-12,57
2020-01,58
2020-02,60
2020-03,74
2020-04,66
2020-05,61
2020-06,67
2020-07,65
2020-08,60
2020-09,52
2020-10,61
2020-11,64
2020-12,63
2021-01,75
2021-02,56
2021-03,59
2021-04,63
2021-05,48
2021-06,47
2021-07,49
2021-08,53
2021-09,52
2021-10,51
2021-11,55
2021-12,61
2022-01,46
2022-02,50
2022-03,53
2022-04,58
2022-05,61
2022-06,63
2022-07,50
2022-08,45
2022-09,44
2022-10,47
2022-11,56
2022-12,49
2023-01,46
2023-02,59
2023-03,59
2023-04,56
2023-05,44
2023-06,47
2023-07,44
2023-08,46
2023-09,38
2023-10,57
2023-11,60
2023-12,52
2024-01,47
2024-02,53
2024-03,49
2024-04,44
2024-05,41
2024-06,40
2024-07,40
2024-08,40
2024-09,41
2024-10,48
2024-11,52
2024-12,49
2025-01,46
2025-02,49
2025-03,45
2025-04,45
2025-05,44
