Categoría: Todas las categorías

Mes,guns: (Míchigan)
2015-01,64
2015-02,65
2015-03,64
2015-04,60
2015-05,59
2015-06,61
2015-07,59
2015-08,57
2015-09,54
2015-10,63
2015-11,74
2015-12,100
2016-01,78
2016-02,68
2016-03,76
2016-04,88
2016-05,59
2016-06,96
2016-07,69
2016-08,57
2016-09,51
2016-10,54
2016-11,66
2016-12,64
2017-01,59
2017-02,62
2017-03,52
2017-04,53
2017-05,46
2017-06,49
2017-07,52
2017-08,49
2017-09,47
2017-10,67
2017-11,76
2017-12,63
2018-01,51
2018-02,94
2018-03,88
2018-04,59
2018-05,52
2018-06,45
2018-07,48
2018-08,45
2018-09,40
2018-10,46
2018-11,59
2018-12,59
2019-01,49
2019-02,52
2019-03,51
2019-04,50
2019-05,45
2019-06,45
2019-07,42
2019-08,50
2019-09,45
2019-10,45
2019-11,53
2019-12,60
2020-01,59
2020-02,64
2020-03,88
2020-04,70
2020-05,70
2020-06,78
2020-07,71
2020-08,72
2020-09,57
2020-10,65
2020-11,74
2020-12,73
2021-01,76
2021-02,54
2021-03,59
2021-04,56
2021-05,49
2021-06,48
2021-07,47
2021-08,54
2021-09,46
2021-10,52
2021-11,52
2021-12,59
2022-01,49
2022-02,49
2022-03,52
2022-04,53
2022-05,55
2022-06,52
2022-07,50
2022-08,43
2022-09,40
2022-10,43
2022-11,52
2022-12,54
2023-01,48
2023-02,57
2023-03,54
2023-04,48
2023-05,40
2023-06,38
2023-07,45
2023-08,43
2023-09,41
2023-10,41
2023-11,47
2023-12,54
2024-01,43
2024-02,46
2024-03,44
2024-04,42
2024-05,37
2024-06,41
2024-07,45
2024-08,42
2024-09,40
2024-10,41
2024-11,49
2024-12,47
2025-01,45
2025-02,46
2025-03,43
2025-04,42
2025-05,41
