Categoría: Todas las categorías

Mes,guns: (Nueva York)
2015-01,71
2015-02,68
2015-03,66
2015-04,63
2015-05,60
2015-06,70
2015-07,60
2015-08,64
2015-09,56
2015-10,70
2015-11,74
2015-12,93
2016-01,85
2016-02,73
2016-03,70
2016-04,92
2016-05,62
2016-06,90
2016-07,100
2016-08,61
2016-09,61
2016-10,63
2016-11,67
2016-12,70
2017-01,64
2017-02,62
2017-03,57
2017-04,56
2017-05,53
2017-06,61
2017-07,66
2017-08,69
2017-09,56
2017-10,86
2017-11,69
2017-12,68
2018-01,56
2018-02,97
2018-03,87
2018-04,62
2018-05,61
2018-06,54
2018-07,53
2018-08,53
2018-09,48
2018-10,53
2018-11,57
2018-12,58
2019-01,50
2019-02,54
2019-03,50
2019-04,47
2019-05,45
2019-06,44
2019-07,41
2019-08,51
2019-09,49
2019-10,47
2019-11,48
2019-12,52
2020-01,49
2020-02,53
2020-03,68
2020-04,61
2020-05,62
2020-06,74
2020-07,67
2020-08,61
2020-09,56
2020-10,55
2020-11,62
2020-12,62
2021-01,59
2021-02,54
2021-03,55
2021-04,56
2021-05,46
2021-06,50
2021-07,49
2021-08,52
2021-09,45
2021-10,44
2021-11,49
2021-12,54
2022-01,45
2022-02,52
2022-03,46
2022-04,47
2022-05,58
2022-06,63
2022-07,55
2022-08,48
2022-09,42
2022-10,43
2022-11,45
2022-12,44
2023-01,44
2023-02,54
2023-03,49
2023-04,45
2023-05,42
2023-06,42
2023-07,42
2023-08,52
2023-09,41
2023-10,40
2023-11,42
2023-12,44
2024-01,41
2024-02,41
2024-03,44
2024-04,38
2024-05,38
2024-06,37
2024-07,40
2024-08,39
2024-09,38
2024-10,39
2024-11,46
2024-12,45
2025-01,43
2025-02,40
2025-03,37
2025-04,36
2025-05,37
