Categoría: Todas las categorías

Mes,guns: (Maryland)
2015-01,61
2015-02,63
2015-03,61
2015-04,60
2015-05,56
2015-06,62
2015-07,63
2015-08,61
2015-09,55
2015-10,68
2015-11,77
2015-12,93
2016-01,79
2016-02,66
2016-03,68
2016-04,83
2016-05,62
2016-06,100
2016-07,74
2016-08,59
2016-09,56
2016-10,57
2016-11,67
2016-12,66
2017-01,61
2017-02,61
2017-03,55
2017-04,53
2017-05,49
2017-06,53
2017-07,59
2017-08,57
2017-09,55
2017-10,77
2017-11,66
2017-12,69
2018-01,55
2018-02,95
2018-03,87
2018-04,57
2018-05,59
2018-06,50
2018-07,54
2018-08,52
2018-09,45
2018-10,48
2018-11,60
2018-12,58
2019-01,54
2019-02,55
2019-03,55
2019-04,48
2019-05,49
2019-06,45
2019-07,48
2019-08,56
2019-09,49
2019-10,49
2019-11,53
2019-12,61
2020-01,53
2020-02,62
2020-03,69
2020-04,65
2020-05,58
2020-06,69
2020-07,64
2020-08,64
2020-09,58
2020-10,61
2020-11,72
2020-12,66
2021-01,64
2021-02,61
2021-03,60
2021-04,63
2021-05,54
2021-06,56
2021-07,54
2021-08,51
2021-09,54
2021-10,50
2021-11,55
2021-12,60
2022-01,54
2022-02,56
2022-03,53
2022-04,50
2022-05,60
2022-06,64
2022-07,64
2022-08,53
2022-09,49
2022-10,49
2022-11,59
2022-12,69
2023-01,52
2023-02,58
2023-03,55
2023-04,54
2023-05,50
2023-06,48
2023-07,46
2023-08,50
2023-09,44
2023-10,51
2023-11,52
2023-12,52
2024-01,47
2024-02,47
2024-03,47
2024-04,44
2024-05,43
2024-06,46
2024-07,50
2024-08,44
2024-09,44
2024-10,45
2024-11,50
2024-12,49
2025-01,48
2025-02,47
2025-03,45
2025-04,44
2025-05,42
