Categoría: Todas las categorías

Mes,guns: (Misisipi)
2015-01,71
2015-02,66
2015-03,66
2015-04,59
2015-05,53
2015-06,64
2015-07,70
2015-08,65
2015-09,64
2015-10,63
2015-11,76
2015-12,100
2016-01,85
2016-02,75
2016-03,64
2016-04,70
2016-05,61
2016-06,77
2016-07,87
2016-08,69
2016-09,57
2016-10,60
2016-11,77
2016-12,74
2017-01,63
2017-02,64
2017-03,60
2017-04,57
2017-05,57
2017-06,65
2017-07,59
2017-08,58
2017-09,50
2017-10,64
2017-11,77
2017-12,77
2018-01,66
2018-02,74
2018-03,71
2018-04,57
2018-05,52
2018-06,48
2018-07,56
2018-08,52
2018-09,46
2018-10,51
2018-11,62
2018-12,70
2019-01,57
2019-02,45
2019-03,56
2019-04,46
2019-05,45
2019-06,50
2019-07,48
2019-08,55
2019-09,51
2019-10,51
2019-11,63
2019-12,72
2020-01,61
2020-02,55
2020-03,63
2020-04,66
2020-05,65
2020-06,79
2020-07,74
2020-08,67
2020-09,53
2020-10,58
2020-11,69
2020-12,78
2021-01,73
2021-02,57
2021-03,62
2021-04,55
2021-05,49
2021-06,53
2021-07,50
2021-08,49
2021-09,46
2021-10,50
2021-11,56
2021-12,58
2022-01,55
2022-02,56
2022-03,57
2022-04,50
2022-05,55
2022-06,55
2022-07,52
2022-08,51
2022-09,46
2022-10,49
2022-11,59
2022-12,61
2023-01,51
2023-02,64
2023-03,51
2023-04,47
2023-05,47
2023-06,48
2023-07,46
2023-08,49
2023-09,56
2023-10,47
2023-11,54
2023-12,56
2024-01,51
2024-02,41
2024-03,44
2024-04,40
2024-05,41
2024-06,42
2024-07,48
2024-08,45
2024-09,40
2024-10,40
2024-11,53
2024-12,55
2025-01,54
2025-02,49
2025-03,46
2025-04,39
2025-05,40
