Categoría: Todas las categorías

Mes,health: (Ohio)
2015-01,63
2015-02,65
2015-03,66
2015-04,65
2015-05,59
2015-06,61
2015-07,63
2015-08,63
2015-09,64
2015-10,65
2015-11,62
2015-12,57
2016-01,62
2016-02,62
2016-03,60
2016-04,58
2016-05,55
2016-06,57
2016-07,55
2016-08,63
2016-09,64
2016-10,61
2016-11,58
2016-12,53
2017-01,65
2017-02,64
2017-03,65
2017-04,61
2017-05,67
2017-06,62
2017-07,64
2017-08,63
2017-09,62
2017-10,66
2017-11,65
2017-12,57
2018-01,67
2018-02,66
2018-03,62
2018-04,65
2018-05,63
2018-06,63
2018-07,64
2018-08,67
2018-09,68
2018-10,69
2018-11,63
2018-12,55
2019-01,70
2019-02,70
2019-03,66
2019-04,70
2019-05,66
2019-06,63
2019-07,66
2019-08,72
2019-09,69
2019-10,72
2019-11,64
2019-12,60
2020-01,74
2020-02,69
2020-03,93
2020-04,73
2020-05,66
2020-06,69
2020-07,81
2020-08,76
2020-09,72
2020-10,79
2020-11,78
2020-12,73
2021-01,97
2021-02,94
2021-03,100
2021-04,76
2021-05,72
2021-06,72
2021-07,70
2021-08,77
2021-09,79
2021-10,83
2021-11,80
2021-12,80
2022-01,91
2022-02,78
2022-03,75
2022-04,76
2022-05,71
2022-06,74
2022-07,74
2022-08,77
2022-09,78
2022-10,75
2022-11,75
2022-12,67
2023-01,80
2023-02,83
2023-03,80
2023-04,76
2023-05,78
2023-06,76
2023-07,73
2023-08,78
2023-09,76
2023-10,79
2023-11,77
2023-12,69
2024-01,85
2024-02,87
2024-03,76
2024-04,82
2024-05,78
2024-06,72
2024-07,78
2024-08,77
2024-09,80
2024-10,77
2024-11,79
2024-12,74
2025-01,86
2025-02,88
2025-03,82
2025-04,83
2025-05,79
