Categoría: Todas las categorías

Mes,health: (Wisconsin)
2015-01,82
2015-02,83
2015-03,79
2015-04,77
2015-05,73
2015-06,74
2015-07,74
2015-08,75
2015-09,81
2015-10,84
2015-11,77
2015-12,72
2016-01,73
2016-02,76
2016-03,73
2016-04,71
2016-05,68
2016-06,69
2016-07,66
2016-08,66
2016-09,68
2016-10,70
2016-11,75
2016-12,66
2017-01,76
2017-02,69
2017-03,80
2017-04,74
2017-05,73
2017-06,67
2017-07,68
2017-08,74
2017-09,75
2017-10,81
2017-11,77
2017-12,66
2018-01,77
2018-02,78
2018-03,72
2018-04,72
2018-05,72
2018-06,69
2018-07,66
2018-08,72
2018-09,71
2018-10,75
2018-11,70
2018-12,66
2019-01,77
2019-02,78
2019-03,73
2019-04,76
2019-05,72
2019-06,71
2019-07,69
2019-08,73
2019-09,74
2019-10,83
2019-11,71
2019-12,63
2020-01,78
2020-02,81
2020-03,99
2020-04,81
2020-05,76
2020-06,82
2020-07,92
2020-08,82
2020-09,87
2020-10,98
2020-11,83
2020-12,77
2021-01,89
2021-02,93
2021-03,100
2021-04,86
2021-05,81
2021-06,77
2021-07,75
2021-08,82
2021-09,92
2021-10,88
2021-11,93
2021-12,85
2022-01,98
2022-02,88
2022-03,89
2022-04,86
2022-05,86
2022-06,82
2022-07,80
2022-08,83
2022-09,87
2022-10,87
2022-11,83
2022-12,81
2023-01,89
2023-02,90
2023-03,90
2023-04,84
2023-05,88
2023-06,84
2023-07,76
2023-08,90
2023-09,85
2023-10,91
2023-11,87
2023-12,81
2024-01,90
2024-02,91
2024-03,89
2024-04,90
2024-05,83
2024-06,78
2024-07,83
2024-08,84
2024-09,86
2024-10,92
2024-11,88
2024-12,87
2025-01,95
2025-02,100
2025-03,92
2025-04,93
2025-05,91
