Categoría: Todas las categorías

Mes,health: (Alaska)
2015-01,71
2015-02,77
2015-03,75
2015-04,76
2015-05,59
2015-06,67
2015-07,67
2015-08,72
2015-09,69
2015-10,71
2015-11,69
2015-12,71
2016-01,78
2016-02,81
2016-03,72
2016-04,76
2016-05,67
2016-06,66
2016-07,60
2016-08,69
2016-09,71
2016-10,68
2016-11,68
2016-12,68
2017-01,77
2017-02,72
2017-03,81
2017-04,71
2017-05,74
2017-06,75
2017-07,69
2017-08,68
2017-09,68
2017-10,69
2017-11,73
2017-12,65
2018-01,77
2018-02,77
2018-03,74
2018-04,73
2018-05,70
2018-06,65
2018-07,66
2018-08,73
2018-09,76
2018-10,78
2018-11,71
2018-12,64
2019-01,78
2019-02,82
2019-03,73
2019-04,75
2019-05,75
2019-06,68
2019-07,68
2019-08,67
2019-09,73
2019-10,84
2019-11,74
2019-12,68
2020-01,81
2020-02,80
2020-03,97
2020-04,84
2020-05,73
2020-06,84
2020-07,81
2020-08,80
2020-09,80
2020-10,85
2020-11,78
2020-12,74
2021-01,87
2021-02,85
2021-03,82
2021-04,76
2021-05,71
2021-06,72
2021-07,71
2021-08,78
2021-09,87
2021-10,82
2021-11,78
2021-12,72
2022-01,94
2022-02,86
2022-03,82
2022-04,79
2022-05,77
2022-06,75
2022-07,73
2022-08,77
2022-09,79
2022-10,83
2022-11,81
2022-12,77
2023-01,92
2023-02,90
2023-03,92
2023-04,88
2023-05,82
2023-06,80
2023-07,76
2023-08,77
2023-09,86
2023-10,85
2023-11,84
2023-12,76
2024-01,87
2024-02,90
2024-03,89
2024-04,90
2024-05,85
2024-06,72
2024-07,74
2024-08,78
2024-09,88
2024-10,86
2024-11,86
2024-12,84
2025-01,93
2025-02,100
2025-03,89
2025-04,95
2025-05,85
