Categoría: Todas las categorías

Mes,health: (Alabama)
2015-01,67
2015-02,65
2015-03,65
2015-04,64
2015-05,59
2015-06,61
2015-07,64
2015-08,62
2015-09,62
2015-10,67
2015-11,61
2015-12,60
2016-01,65
2016-02,63
2016-03,63
2016-04,62
2016-05,62
2016-06,61
2016-07,57
2016-08,64
2016-09,61
2016-10,58
2016-11,60
2016-12,51
2017-01,65
2017-02,66
2017-03,65
2017-04,62
2017-05,63
2017-06,60
2017-07,65
2017-08,67
2017-09,63
2017-10,65
2017-11,62
2017-12,54
2018-01,71
2018-02,66
2018-03,62
2018-04,66
2018-05,63
2018-06,64
2018-07,64
2018-08,70
2018-09,65
2018-10,64
2018-11,61
2018-12,55
2019-01,74
2019-02,68
2019-03,63
2019-04,67
2019-05,64
2019-06,70
2019-07,71
2019-08,75
2019-09,68
2019-10,71
2019-11,62
2019-12,58
2020-01,73
2020-02,68
2020-03,100
2020-04,84
2020-05,66
2020-06,72
2020-07,76
2020-08,75
2020-09,73
2020-10,72
2020-11,64
2020-12,64
2021-01,86
2021-02,94
2021-03,82
2021-04,72
2021-05,66
2021-06,68
2021-07,70
2021-08,77
2021-09,74
2021-10,71
2021-11,68
2021-12,64
2022-01,87
2022-02,75
2022-03,76
2022-04,75
2022-05,71
2022-06,77
2022-07,72
2022-08,84
2022-09,80
2022-10,76
2022-11,69
2022-12,65
2023-01,81
2023-02,80
2023-03,79
2023-04,77
2023-05,75
2023-06,76
2023-07,78
2023-08,84
2023-09,80
2023-10,80
2023-11,76
2023-12,68
2024-01,83
2024-02,84
2024-03,81
2024-04,86
2024-05,82
2024-06,83
2024-07,79
2024-08,86
2024-09,81
2024-10,89
2024-11,79
2024-12,79
2025-01,86
2025-02,91
2025-03,86
2025-04,88
2025-05,83
