Categoría: Todas las categorías

Mes,health: (Arkansas)
2015-01,49
2015-02,47
2015-03,44
2015-04,48
2015-05,46
2015-06,47
2015-07,50
2015-08,48
2015-09,45
2015-10,49
2015-11,46
2015-12,40
2016-01,49
2016-02,50
2016-03,48
2016-04,48
2016-05,43
2016-06,41
2016-07,42
2016-08,53
2016-09,53
2016-10,51
2016-11,48
2016-12,42
2017-01,53
2017-02,49
2017-03,53
2017-04,50
2017-05,46
2017-06,52
2017-07,51
2017-08,52
2017-09,50
2017-10,53
2017-11,50
2017-12,45
2018-01,53
2018-02,52
2018-03,50
2018-04,51
2018-05,48
2018-06,51
2018-07,53
2018-08,59
2018-09,53
2018-10,55
2018-11,49
2018-12,45
2019-01,56
2019-02,56
2019-03,53
2019-04,58
2019-05,46
2019-06,49
2019-07,53
2019-08,57
2019-09,57
2019-10,59
2019-11,52
2019-12,48
2020-01,57
2020-02,55
2020-03,100
2020-04,77
2020-05,64
2020-06,72
2020-07,74
2020-08,68
2020-09,71
2020-10,67
2020-11,63
2020-12,63
2021-01,73
2021-02,62
2021-03,62
2021-04,60
2021-05,53
2021-06,56
2021-07,65
2021-08,73
2021-09,67
2021-10,62
2021-11,58
2021-12,61
2022-01,79
2022-02,62
2022-03,60
2022-04,58
2022-05,58
2022-06,60
2022-07,59
2022-08,64
2022-09,60
2022-10,62
2022-11,61
2022-12,55
2023-01,65
2023-02,65
2023-03,63
2023-04,59
2023-05,60
2023-06,60
2023-07,63
2023-08,65
2023-09,67
2023-10,67
2023-11,64
2023-12,57
2024-01,68
2024-02,67
2024-03,61
2024-04,69
2024-05,61
2024-06,61
2024-07,64
2024-08,65
2024-09,67
2024-10,69
2024-11,61
2024-12,60
2025-01,70
2025-02,69
2025-03,66
2025-04,70
2025-05,66
