Category: All categories

Month,health: (American Samoa)
2015-01,73
2015-02,0
2015-03,0
2015-04,66
2015-05,0
2015-06,0
2015-07,0
2015-08,56
2015-09,64
2015-10,0
2015-11,45
2015-12,0
2016-01,71
2016-02,52
2016-03,86
2016-04,57
2016-05,69
2016-06,66
2016-07,0
2016-08,48
2016-09,60
2016-10,55
2016-11,48
2016-12,0
2017-01,0
2017-02,36
2017-03,46
2017-04,36
2017-05,0
2017-06,0
2017-07,0
2017-08,43
2017-09,49
2017-10,71
2017-11,0
2017-12,0
2018-01,53
2018-02,0
2018-03,0
2018-04,45
2018-05,63
2018-06,69
2018-07,0
2018-08,55
2018-09,53
2018-10,44
2018-11,0
2018-12,0
2019-01,48
2019-02,0
2019-03,62
2019-04,63
2019-05,73
2019-06,0
2019-07,58
2019-08,53
2019-09,60
2019-10,68
2019-11,55
2019-12,40
2020-01,44
2020-02,34
2020-03,55
2020-04,53
2020-05,43
2020-06,56
2020-07,87
2020-08,46
2020-09,100
2020-10,0
2020-11,44
2020-12,29
2021-01,80
2021-02,39
2021-03,39
2021-04,41
2021-05,32
2021-06,34
2021-07,39
2021-08,35
2021-09,67
2021-10,48
2021-11,42
2021-12,38
2022-01,53
2022-02,64
2022-03,71
2022-04,62
2022-05,58
2022-06,38
2022-07,31
2022-08,38
2022-09,74
2022-10,63
2022-11,37
2022-12,43
2023-01,47
2023-02,62
2023-03,57
2023-04,69
2023-05,59
2023-06,47
2023-07,54
2023-08,54
2023-09,69
2023-10,63
2023-11,63
2023-12,38
2024-01,67
2024-02,51
2024-03,47
2024-04,53
2024-05,53
2024-06,0
2024-07,44
2024-08,35
2024-09,54
2024-10,37
2024-11,67
2024-12,32
2025-01,54
2025-02,74
2025-03,35
2025-04,41
2025-05,50
