Categoría: Todas las categorías

Mes,health: (Arizona)
2015-01,74
2015-02,69
2015-03,65
2015-04,69
2015-05,63
2015-06,68
2015-07,66
2015-08,67
2015-09,67
2015-10,69
2015-11,69
2015-12,66
2016-01,68
2016-02,68
2016-03,67
2016-04,69
2016-05,60
2016-06,63
2016-07,61
2016-08,68
2016-09,65
2016-10,68
2016-11,64
2016-12,59
2017-01,68
2017-02,68
2017-03,69
2017-04,68
2017-05,68
2017-06,67
2017-07,64
2017-08,66
2017-09,66
2017-10,67
2017-11,65
2017-12,56
2018-01,68
2018-02,64
2018-03,65
2018-04,68
2018-05,65
2018-06,65
2018-07,66
2018-08,69
2018-09,65
2018-10,70
2018-11,64
2018-12,61
2019-01,68
2019-02,63
2019-03,61
2019-04,69
2019-05,68
2019-06,69
2019-07,67
2019-08,66
2019-09,71
2019-10,72
2019-11,67
2019-12,60
2020-01,69
2020-02,71
2020-03,87
2020-04,77
2020-05,71
2020-06,78
2020-07,80
2020-08,71
2020-09,74
2020-10,75
2020-11,72
2020-12,81
2021-01,98
2021-02,86
2021-03,86
2021-04,75
2021-05,70
2021-06,73
2021-07,73
2021-08,80
2021-09,77
2021-10,80
2021-11,85
2021-12,75
2022-01,100
2022-02,79
2022-03,77
2022-04,74
2022-05,72
2022-06,73
2022-07,70
2022-08,78
2022-09,74
2022-10,73
2022-11,72
2022-12,68
2023-01,75
2023-02,77
2023-03,74
2023-04,80
2023-05,77
2023-06,75
2023-07,73
2023-08,78
2023-09,74
2023-10,77
2023-11,78
2023-12,67
2024-01,80
2024-02,82
2024-03,76
2024-04,76
2024-05,77
2024-06,76
2024-07,76
2024-08,76
2024-09,81
2024-10,78
2024-11,77
2024-12,77
2025-01,83
2025-02,86
2025-03,84
2025-04,78
2025-05,80
